Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
55314-12511,PG,Ish,Ish Smith,Smith,18.48421116879112,19,4000,LAC@WAS,WAS,LAC,O,Quadriceps,,,
55314-9956,SG,Wayne,Wayne Ellington,Ellington,16.107407181351274,27,4000,DET@NY,DET,NY,,,,,
55314-84714,PF,Moritz,Moritz Wagner,Wagner,14.385714576357888,21,4000,LAC@WAS,WAS,LAC,,,,,
55314-110323,C,Eric,Eric Paschall,Paschall,16.093938654119317,33,4000,GS@PHO,GS,PHO,,,,,
55314-85238,SG,Yuta,Yuta Watanabe,Watanabe,9.645454406738281,22,4000,TOR@BOS,TOR,BOS,,,,,
55314-85305,SF,Kenrich,Kenrich Williams,Williams,15.362857491629464,35,4000,OKC@SA,OKC,SA,,,,,
55314-18256,SF,Doug,Doug McDermott,McDermott,19.73333370324337,33,4000,DEN@IND,IND,DEN,,,,,
55314-80813,PG,Frank,Frank Ntilikina,Ntilikina,10.112500190734863,8,4000,DET@NY,NY,DET,,,,,
55314-48567,PG,Cameron,Cameron Payne,Payne,14.252173382302988,23,4000,GS@PHO,PHO,GS,,,,,
55314-24544,SG,Gary,Gary Harris,Harris,17.75789441560444,19,4000,DEN@IND,DEN,IND,O,Thigh,,,
55314-16448,PF,Frank,Frank Kaminsky,Kaminsky,16.03846153846154,26,3900,GS@PHO,PHO,GS,,,,,
55314-111273,SG,Luguentz,Luguentz Dort,Dort,20.311763987821692,34,3900,OKC@SA,OKC,SA,,,,,
55314-58576,C,Kevon,Kevon Looney,Looney,12.696154080904448,26,3900,GS@PHO,GS,PHO,,,,,
55314-23788,SG,Bryn,Bryn Forbes,Forbes,12.225714111328125,35,3900,MIL@MEM,MIL,MEM,,,,,
55314-9466,PG,D.J.,D.J. Augustin,Augustin,13.32727235736269,33,3900,MIL@MEM,MIL,MEM,,,,,
55314-110331,SG,Ty,Ty Jerome,Jerome,24.100001017252605,3,3900,OKC@SA,OKC,SA,,,,,
55314-16790,PG,Brad,Brad Wanamaker,Wanamaker,12.422222561306423,36,3900,GS@PHO,GS,PHO,,,,,
55314-58270,PG,Edmond,Edmond Sumner,Sumner,8.961904616582961,21,3900,DEN@IND,IND,DEN,,,,,
55314-145335,PG,Payton,Payton Pritchard,Pritchard,14.796551934603986,29,3900,TOR@BOS,BOS,TOR,,,,,
55314-145333,SG,Aaron,Aaron Nesmith,Nesmith,8.405555725097656,18,3900,TOR@BOS,BOS,TOR,,,,,
55314-15814,C,Alex,Alex Len,Len,14.103846623347355,26,3900,LAC@WAS,WAS,LAC,,,,,
55314-111622,SF,Garrison,Garrison Mathews,Mathews,12.566666214554399,27,3800,LAC@WAS,WAS,LAC,,,,,
55314-110639,PF,Sekou,Sekou Doumbouya,Doumbouya,8.722580448273689,31,3800,DET@NY,DET,NY,,,,,
55314-66196,SG,PJ,PJ Dozier,Dozier,16.86499938964844,20,3800,DEN@IND,DEN,IND,,,,,
55314-110316,SF,Cameron,Cameron Johnson,Johnson,18.58823529411765,34,3800,GS@PHO,PHO,GS,,,,,
55314-9481,PF,Taj,Taj Gibson,Gibson,11.266666412353516,12,3800,DET@NY,NY,DET,GTD,Ankle,,,
55314-9538,SF,Trevor,Trevor Ariza,Ariza,19.824527380601417,53,3800,OKC@SA,OKC,SA,O,Personal,,,
55314-145316,PG,Kira,Kira Lewis,Lewis,10.03499984741211,20,3800,MIA@NO,NO,MIA,,,,,
55314-17894,PF,Mike,Mike Muscala,Muscala,16.209091648910984,33,3800,OKC@SA,OKC,SA,,,,,
55314-15947,SG,Reggie,Reggie Bullock,Bullock,16.193548387096776,31,3700,DET@NY,NY,DET,,,,,
