,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,fantasy_points,fantasy_points_7_9,fantasy_points_8_8,fantasy_points_8_85,fantasy_points_8_9,predicted_points,actual_points
69,Jordan Clarkson,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,28.2667399360556,2.95945103173338,1.9971384349044885,1.6923136884659855,4.030849134367585,1.8744348069269972,0.31362919408930745,0.8075733580615267,1.3510371466984938,23.15175,0,24.01754853821018,23.268589831475587,23.517211628965143,23.693217714004625,23.263872738031814,19.3
70,Boban Marjanović,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,22.401946214834698,3.7986846313809988,0.28286968895892994,1.225692963071201,5.83643243553775,0.567859370035908,0.6544530396511234,0.5166920198019098,0.7377434781554555,20.04,0,19.762472717488663,21.113118946248854,20.42282622364163,19.759451376033496,20.302870970612794,5.9
71,Jarrett Culver,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,24.14306817307134,2.768019824999591,1.5107600957759144,1.4604221598023486,4.02958816059391,1.8221508563952256,0.690842586319623,0.721347230258047,1.2707233289240512,20.5605,0,22.038524684613733,21.509254630966126,22.05585781839966,22.625057707662073,22.063320295243763,16.3
72,Markieff Morris,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,26.987081923819897,2.642273330683512,1.8733309690273232,1.747753175972588,3.7917021369583885,1.2380532738217251,0.3471115407420493,0.6516839668211387,1.2068784345368335,19.97125,0,20.837824352190644,21.058827268099208,20.930483833155662,20.769357400804488,20.848923307656964,15.3
73,Jalen Brunson,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,21.89593829440523,2.113548353216185,0.8155690654754,1.1481265649942518,2.382375838324265,2.0530014257016447,0.178867551302742,0.7221789849104026,0.7250933593952575,15.27,0,15.707183795474592,15.897936054853432,15.59414250315315,15.295663645314065,15.738329861638581,10.4
74,Mike Conley,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,23.81751261004135,2.049773460799223,1.2609441013044367,0.6026881374976671,2.0628641804356818,2.0028303788753643,0.11331846920794497,0.8444187900773406,0.892709277897979,14.805,0,15.799849151182961,15.951151315115936,15.871747200004336,15.805210409458134,15.945252447803167,12.3
75,Dwight Howard,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,24.17539087722575,4.312854087628359,0.0,1.2651482741523954,10.512033685010442,1.1450645633994814,1.272940648493035,0.7652035629141154,1.2197587762495579,31.945249999999994,0,29.173988312978317,28.523848594631488,28.418686594153307,28.216191679147684,29.117567574492757,8.0
76,Jared Dudley,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,17.768123076304278,0.8547706341877979,0.6680334646927042,0.08229653885083975,1.9433343751119336,0.6726220033292865,0.299474157664159,0.5559623447553176,0.24350382882474736,7.913499999999999,0,10.276550798251385,10.611773674374618,10.15390068273949,9.788936309924807,9.45967813486648,4.2
77,Denzel Valentine,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,16.91015410327343,0.7467993825905556,0.5278700195364121,0.0,1.0614950537029477,0.8381270428160047,0.13287264496583145,0.4567209688313048,0.2728790395856365,4.11725,0,7.80752335156771,8.3473049015859,8.072472813428462,7.894508819618224,7.1040952542636635,10.4
78,Kyle Kuzma,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,26.22710320913673,4.289376659617533,1.553942967824334,2.5252064212814322,4.906603577398249,2.1424252811455613,0.5865451669314221,0.5905359424275571,1.5388391974823226,24.429250000000003,0,26.977615802691687,26.77268795474997,27.182940686516027,27.535253851898972,26.859754989180356,12.0
79,Garrett Temple,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,24.495201840636682,1.6410987153838335,1.8940138927726982,1.1259932352903181,3.647584974412055,2.1074405800618123,0.26909799287854685,0.8096358620576156,1.1792541108388603,17.27825,0,19.846524622566072,19.331613860764264,19.567960374975186,19.83343356852363,19.68544263773289,10.0
80,Cristiano Felício,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,17.816792430265583,1.3146889061654423,0.0999383062286396,0.13195020483905842,3.516935694557056,0.5876220996495192,0.45364932079755826,0.3642141544786546,0.444692683033186,10.531500000000001,0,10.524589089533343,11.639245530224443,11.08173162587255,10.523550656788785,10.171796661594062,9.8
81,Justin Jackson,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,20.72344342240167,1.1627864364438558,1.0292712029354159,0.458803182611371,2.1916260158765546,1.0230506368686605,0.28026181955810303,0.515559692769749,0.4858539409501439,10.468499999999999,0,11.68563801235073,12.40944589102142,12.30167028623434,12.161926050755724,11.9383274346936,7.4
82,Louis King,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,18.282619147285338,0.42977290537900403,0.6589483826519352,0.0,1.6911241613194654,0.5741436652617921,0.13880690646245622,0.39003917414018996,0.36541399766510757,4.706999999999999,0,7.69264582067342,7.1150384800154,7.017079976185059,6.967206980544546,6.948079694332692,4.0
83,Zhaire Smith,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,16.03258971241869,0.5880392332413575,0.38377188115517075,4.095478246399122,0.9025674398765455,0.6593846564110414,0.1362029499917169,0.4406482069271838,0.1270566070520807,1.8744999999999998,0,72.2323523625841,7.104879606819068,7.059442935248285,7.105087956869525,10.098527132520386,1.5
84,Alfonzo McKinnie,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,23.32124970501769,2.1143827457211444,0.6193550312592768,0.7082392556970669,4.6149803002492895,0.7806671282515527,0.5077003037683241,0.6836198111179996,1.0023373590042761,16.02375,0,16.624571389037854,15.935204185773728,16.00875134486163,16.06196950092675,16.07566987924836,10.7
85,Steven Adams,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,23.165408431933,3.0576828695669818,0.0211560525667831,1.2962536777732723,6.903061207034758,2.0878571298922655,0.6977139361798494,0.7834490002903585,1.111530186589771,22.1475,0,21.89982893975649,20.89351585551163,22.09638407473245,23.276374093657907,22.222505340708544,15.2
86,Josh Okogie,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,24.227330491469434,2.90956450288364,0.5593639011131517,1.7157810314006623,5.318276339105443,2.612379473777576,0.5395847727016276,1.022929128739697,1.4751550773592357,24.655250000000002,0,21.84816458399552,22.83678953042464,22.724691878681398,22.75512318031229,22.725889185065032,10.1
87,Mike Scott,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,20.899445704296877,0.8772713686282465,1.122609900727934,0.30345257072597764,3.9904014022597494,0.8147480305965953,0.3363104346812902,0.5016253440900358,0.5277538484966879,12.105,0,13.276572499593684,13.505256657284477,13.46638543318683,13.490302015739395,13.422482226590153,5.8
88,Jonah Bolden,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,16.953992118860945,0.5923306453471561,0.4764169752322234,0.03986237923719915,2.0889190160311712,0.31916287852477726,0.3964876669403581,0.42660514610035416,0.2668430243363133,5.8975,0,8.835846040107171,8.83120158655747,8.827989652017209,8.931823720065935,7.8416571474385774,0.0
89,Trey Burke,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,19.273583860244464,1.6611501442237433,0.6584243987639531,0.4259492947657204,1.9740293605994772,1.75340767421903,0.11051675564067454,0.4464652103272164,0.5181636107805205,7.947500000000001,0,11.97231090249852,11.722415176361054,11.870498333790053,12.044308787392367,11.875251810676135,0.0
90,Nicolas Claxton,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,18.232192482310392,1.839278027063593,0.22675992769543427,0.6578281984116344,3.5508879215449913,0.8132328474638161,0.5041654893743632,0.34267602099266903,0.6340863485780288,12.472249999999999,0,13.252245796666685,12.86299040427518,13.085996491161296,13.243247071037544,12.404016995197903,7.199999999999999
91,Rajon Rondo,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,25.116301917779786,3.2801472197896047,1.0933002567081433,1.7812945139929859,4.001125466184643,5.042107576835424,0.07549794495020645,0.9067404795347049,1.8587439188455666,23.27675,0,25.48603935220254,25.148762851323013,25.043127763791418,24.87519881994139,25.0739730029805,7.199999999999999
92,Matthew Dellavedova,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,18.997526542994404,0.6424280220817179,0.46238342934303883,0.26729177473459814,1.2845890774386375,2.26028960580758,0.06993020549822133,0.45933487970839765,0.9944897066527639,6.12875,0,7.818188256559168,8.22957850710931,8.33733264378185,8.590023448446686,8.464544957531976,2.5
93,Furkan Korkmaz,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,24.68837218559356,1.8925693603795573,2.5056418913037444,1.2279082869398268,2.568281998205517,1.3394855335472524,0.3480984088255652,0.5414229444229863,0.7312443024910602,19.10925,0,19.450378865978955,19.867890147355254,19.473614232627646,19.012642580710654,19.55845913703227,7.5
94,Jordan Bone,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,18.57348274471859,0.3677583479486156,0.7615765230056782,0.0,1.2533786489891727,1.0369567141409202,0.11244384224037982,0.4455424433423001,0.3696791925054525,4.13875,0,4.582388977557031,7.660597477817419,7.412377026436573,7.199399998975039,7.38401537915524,0.0
95,Allen Crabbe,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,18.806130294235906,0.6897256008542164,1.1089440136028401,0.20095671919799685,2.173537480576947,0.8648835744814842,0.29061019504873703,0.4729089804533399,0.6428167805161266,8.41275,0,10.693545701498174,10.865188792632807,10.544120897771165,10.20362024242354,10.460551046119617,0.19999999999999996
96,Gorgui Dieng,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,22.36937046286154,1.6791082744797166,0.9833771801732711,0.7695992360098041,5.128087465629671,1.6576640917592549,0.5718924457973191,0.6186081766443197,1.0191670777351851,18.7835,0,18.444484746592877,17.95501372422683,18.25204738748468,18.55829668909174,18.27048321147327,2.4
97,James Ennis,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,19.052715467903113,1.0359306548991363,0.7262164719644595,0.6063200584957702,2.6876017266366823,1.0505697623290917,0.2653308113448474,0.52061223599953,0.4830527366133037,8.692,0,11.60366571200808,11.470360014645252,11.579475862639924,11.742880441293124,11.532583905064905,2.2
98,Danny Green,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,25.224949455446446,1.7536487629064084,1.8907674497340654,0.8416231170642963,3.1555882625831444,1.2336727579241114,0.48902931702421526,1.1583346396287681,0.7675285920007318,21.385499999999997,0,20.007210650582543,19.523509938954106,19.713562467096665,19.84254330785071,19.833001322023467,12.5
99,Sekou Doumbouya,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,24.164897565153765,1.8471311192112196,1.220489998567108,1.2938919654345225,3.99498731681566,1.115603425266798,0.44834019747142806,0.6277325262657731,1.0125605598485412,16.03125,0,18.390785187974636,17.209362719460515,17.506090462385067,17.78326196002908,17.332671729000335,1.4
