"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","Milos Teodosic",3900,"LAC@ORL 12/13/2017 07:00PM ET",15.833,"LAC","ORL",21.89,21.2,28.5
"SG/SF","Dillon Brooks",3900,"MEM@WAS 12/13/2017 07:00PM ET",15.972,"MEM","WAS",14.87,15.8,10.75
"SG/SF","Andre Roberson",3800,"OKC@IND 12/13/2017 07:00PM ET",15.15,"OKC","IND",0,0,0
"SG/SF","Glenn Robinson III",3800,"OKC@IND 12/13/2017 07:00PM ET",0,"IND","OKC",0,0,0
"PG","Fred VanVleet",3800,"TOR@PHO 12/13/2017 09:00PM ET",14.81,"TOR","PHO",20.1,19.2,13
"SG","Troy Daniels",3800,"TOR@PHO 12/13/2017 09:00PM ET",9.714,"PHO","TOR",17.35,17.9,41.25
"SG/SF","CJ Miles",3800,"TOR@PHO 12/13/2017 09:00PM ET",16.807,"TOR","PHO",14.65,17,8.75
"PG/SF","Mario Hezonja",3800,"LAC@ORL 12/13/2017 07:00PM ET",7.298,"ORL","LAC",22.71,21.9,41.75
"PG","Mario Chalmers",3800,"MEM@WAS 12/13/2017 07:00PM ET",18.375,"MEM","WAS",27.09,18.4,14.25
"PG/SG","Tomas Satoransky",3800,"MEM@WAS 12/13/2017 07:00PM ET",13.353,"WAS","MEM",0,16.3,8
"C","Cody Zeller",3800,"CHA@HOU 12/13/2017 09:30PM ET",17.882,"CHA","HOU",0,0,0
"PF/C","Noah Vonleh",3800,"POR@MIA 12/13/2017 07:30PM ET",16.539,"POR","MIA",14.94,12,0.75
"PF","Pascal Siakam",3700,"TOR@PHO 12/13/2017 09:00PM ET",17.427,"TOR","PHO",12.94,14.7,11
"PF/C","Jakob Poeltl",3700,"TOR@PHO 12/13/2017 09:00PM ET",15.49,"TOR","PHO",19.11,18.4,12.5
"PF","Jared Dudley",3700,"TOR@PHO 12/13/2017 09:00PM ET",12.354,"PHO","TOR",6.19,10.9,0
"PF/C","Montrezl Harrell",3700,"LAC@ORL 12/13/2017 07:00PM ET",12.316,"LAC","ORL",15.06,15.1,13.5
"SG/SF","Arron Afflalo",3700,"LAC@ORL 12/13/2017 07:00PM ET",5.693,"ORL","LAC",0,0,0
"PG","Shelvin Mack",3700,"LAC@ORL 12/13/2017 07:00PM ET",14.655,"ORL","LAC",19.68,21.3,13.25
"PG/SG","Andrew Harrison",3700,"MEM@WAS 12/13/2017 07:00PM ET",13.262,"MEM","WAS",24.68,22.6,35.75
"PF/C","Meyers Leonard",3700,"POR@MIA 12/13/2017 07:30PM ET",11.091,"POR","MIA",0.87,0,0
"SG/SF","Tony Snell",3700,"MIL@NO 12/13/2017 08:00PM ET",16.141,"MIL","NO",0,0,0
"SF","Darius Miller",3700,"MIL@NO 12/13/2017 08:00PM ET",13.071,"NO","MIL",16.63,16.4,19.75
"SF/PF","Dante Cunningham",3700,"MIL@NO 12/13/2017 08:00PM ET",13.713,"NO","MIL",10.85,10,13
"PF/C","Daniel Theis",3600,"DEN@BOS 12/13/2017 07:30PM ET",11.991,"BOS","DEN",18.34,17.2,15.25
"SF/PF","Jonas Jerebko",3600,"UTA@CHI 12/13/2017 08:00PM ET",13.398,"UTA","CHI",13.14,11.5,13.75
"SF/PF","Jerami Grant",3600,"OKC@IND 12/13/2017 07:00PM ET",16.75,"OKC","IND",16.47,14.4,22.5
"SG/SF","Norman Powell",3600,"TOR@PHO 12/13/2017 09:00PM ET",16.202,"TOR","PHO",10.43,10.6,2.25
"SG/SF","Terrence Ross",3600,"LAC@ORL 12/13/2017 07:00PM ET",18.795,"ORL","LAC",0,0,0
"PG","Tim Frazier",3600,"MEM@WAS 12/13/2017 07:00PM ET",14.231,"WAS","MEM",2.86,10.3,5.5
"PG/SG","Malik Monk",3600,"CHA@HOU 12/13/2017 09:30PM ET",11.902,"CHA","HOU",2.12,0,7
"SF/PF","PJ Tucker",3600,"CHA@HOU 12/13/2017 09:30PM ET",17.94,"HOU","CHA",16.15,16.6,12
"PG","Michael Carter-Williams",3600,"CHA@HOU 12/13/2017 09:30PM ET",14.267,"CHA","HOU",10.08,12,10.75
"SG/SF","Wayne Ellington",3600,"POR@MIA 12/13/2017 07:30PM ET",14.712,"MIA","POR",17.64,19.3,38
"SG/SF","Pat Connaughton",3600,"POR@MIA 12/13/2017 07:30PM ET",11.962,"POR","MIA",13.7,13.8,4.25
"PF/C","Thon Maker",3600,"MIL@NO 12/13/2017 08:00PM ET",12.45,"MIL","NO",14.1,14.8,9.5
"SG","Malik Beasley",3500,"DEN@BOS 12/13/2017 07:30PM ET",7.398,"DEN","BOS",17.24,16.5,11.25
"SG/SF","Semi Ojeleye",3500,"DEN@BOS 12/13/2017 07:30PM ET",6.214,"BOS","DEN",11.04,10.5,9.25
"SG/SF","Joe Johnson",3500,"UTA@CHI 12/13/2017 08:00PM ET",11.656,"UTA","CHI",0,0,0
"PG/SG","Delon Wright",3500,"TOR@PHO 12/13/2017 09:00PM ET",16.536,"TOR","PHO",0,0,0
"SF/PF","OG Anunoby",3500,"TOR@PHO 12/13/2017 09:00PM ET",12.39,"TOR","PHO",16,17.6,12
"SF/PF","Jonathan Isaac",3500,"LAC@ORL 12/13/2017 07:00PM ET",16.229,"ORL","LAC",0,0,0
"SF/PF","Sam Dekker",3500,"LAC@ORL 12/13/2017 07:00PM ET",7.952,"LAC","ORL",16.63,14.9,21.5
"SG/SF","Wes Iwundu",3500,"LAC@ORL 12/13/2017 07:00PM ET",4.625,"ORL","LAC",0,0,0
"PG/SG","Shabazz Napier",3500,"POR@MIA 12/13/2017 07:30PM ET",13.44,"POR","MIA",0,0,17.75
"PG","Raul Neto",3400,"UTA@CHI 12/13/2017 08:00PM ET",10.426,"UTA","CHI",0,0,0
"PF/C","Patrick Patterson",3400,"OKC@IND 12/13/2017 07:00PM ET",7.317,"OKC","IND",7.55,8.1,11.75
"C","Lucas Nogueira",3400,"TOR@PHO 12/13/2017 09:00PM ET",11.265,"TOR","PHO",0,0,0
"SF/PF","Dragan Bender",3400,"TOR@PHO 12/13/2017 09:00PM ET",12.268,"PHO","TOR",13.04,8.1,13.5
"SG/SF","James Ennis III",3400,"MEM@WAS 12/13/2017 07:00PM ET",14.654,"MEM","WAS",0,14.1,0
"SG/SF","Ben McLemore",3400,"MEM@WAS 12/13/2017 07:00PM ET",12.797,"MEM","WAS",18.76,15.8,14.25
"SF/PF","Maurice Harkless",3400,"POR@MIA 12/13/2017 07:30PM ET",13.125,"POR","MIA",11.73,11.8,6.25
"PF/C","Zach Collins",3400,"POR@MIA 12/13/2017 07:30PM ET",5.175,"POR","MIA",19.18,19.2,14.25
"PG/SG","Jameer Nelson",3400,"MIL@NO 12/13/2017 08:00PM ET",17.094,"NO","MIL",12.64,13,20.25
"SF/PF","Juancho Hernangomez",3300,"DEN@BOS 12/13/2017 07:30PM ET",9.481,"DEN","BOS",0,0,0
"SG/SF","Paul Zipser",3300,"UTA@CHI 12/13/2017 08:00PM ET",10.772,"CHI","UTA",4.87,10.1,3.75
"PF/C","Al Jefferson",3300,"OKC@IND 12/13/2017 07:00PM ET",16.725,"IND","OKC",0,0,0
"SG/SF","Alex Abrines",3300,"OKC@IND 12/13/2017 07:00PM ET",9.188,"OKC","IND",15.01,15.3,24
"PF/C","Bismack Biyombo",3300,"LAC@ORL 12/13/2017 07:00PM ET",12.313,"ORL","LAC",10.07,11,18
"SF/PF","Luc Richard Mbah a Moute",3300,"CHA@HOU 12/13/2017 09:30PM ET",16.435,"HOU","CHA",13.74,13.5,0
"C","Nene Hilario",3300,"CHA@HOU 12/13/2017 09:30PM ET",14.194,"HOU","CHA",0,12.9,14
"PF","Caleb Swanigan",3300,"POR@MIA 12/13/2017 07:30PM ET",7.607,"POR","MIA",0,0,0
"PG/SF","DeAndre Liggins",3300,"MIL@NO 12/13/2017 08:00PM ET",7.716,"MIL","NO",9.67,9.6,7.5
"PG","Shane Larkin",3200,"DEN@BOS 12/13/2017 07:30PM ET",7.05,"BOS","DEN",0,0,27.75
"C","Alan Williams",3200,"TOR@PHO 12/13/2017 09:00PM ET",0,"PHO","TOR",0,0,0
