,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,Projected Draftkings Points,Projected Draftkings Value,FPPG (Fanduel),10 Game Average (Fanduel),3 Game Average (Fanduel),Injury Indicator,Injury Details,Hot,Cold
32,Markieff Morris,SF,LAC@LAL,LAL,8.49,1697,3600,-1903,8.14,1357,17.84,18.02,16.2,GTD,Undisclosed,0.0,0.0
33,Rodney McGruder,SG,LAC@LAL,LAC,8.69,1738,3500,-1762,8.08,1346,8.59,6.23,2.4,,,0.0,0.0
34,Amir Coffey,PF,LAC@LAL,LAC,9.64,1928,3500,-1572,9.02,1504,4.72,6.21,4.6,O,Coach's decision,0.0,0.0
35,Mfiondu Kabengele,SF,LAC@LAL,LAC,13.68,2736,3500,-764,13.34,2224,5.68,11.55,11.55,,,0.0,0.0
36,Emmanuel Mudiay,PG,UTA@NO,UTA,8.47,1695,3500,-1805,7.74,1290,13.99,10.47,15.63,GTD,Illness,0.0,0.0
37,Nickeil Alexander-Walker,SG,UTA@NO,NO,8.19,1638,3500,-1862,7.85,1308,10.72,6.84,1.53,,,0.0,0.0
38,Juwan Morgan,PF,UTA@NO,UTA,5.36,1073,3500,-2427,5.27,878,2.8,3.77,3.83,,,0.0,0.0
39,Alex Caruso,PG,LAC@LAL,LAL,21.07,4213,3500,713,20.66,3444,13.59,15.37,18.3,,,0.0,0.0
40,Patrick Patterson,PF,LAC@LAL,LAC,10.51,2102,3500,-1398,9.7,1617,8.52,4.92,3.07,,,0.0,0.0
41,Frank Jackson,PG,UTA@NO,NO,8.13,1625,3500,-1875,8.04,1339,8.74,7.12,3.63,,,0.0,0.0
42,Jared Dudley,SF,LAC@LAL,LAL,12.37,2474,3500,-1026,11.74,1957,4.43,4.18,3.1,,,0.0,0.0
43,Ed Davis,PF,UTA@NO,UTA,4.69,938,3500,-2562,3.95,658,8.12,4.8,5.13,,,0.0,0.0
44,Rayjon Tucker,PG,UTA@NO,UTA,2.97,594,3500,-2906,2.42,403,2.69,2.43,1.87,,,0.0,0.0
45,E'Twaun Moore,SF,UTA@NO,NO,9.87,1974,3500,-1526,9.94,1657,15.1,10.4,9.43,,,0.0,0.0
46,Quinn Cook,PG,LAC@LAL,LAL,10.55,2109,3500,-1391,10.05,1675,7.95,8.46,4.47,,,0.0,0.0
47,Jahlil Okafor,C,UTA@NO,NO,9.36,1871,3500,-1629,9.45,1576,16.17,13.94,6.57,,,0.0,1.7208543629609316
48,Jarrell Brantley,SF,UTA@NO,UTA,3.93,786,3500,-2714,3.16,526,2.3,1.2,1.2,,,0.0,0.0
49,Terance Mann,SG,LAC@LAL,LAC,10.19,2038,3500,-1462,9.29,1547,5.07,3.84,0.4,O,Hand,0.0,0.0
50,Georges Niang,PF,UTA@NO,UTA,9.53,1907,3500,-1593,9.83,1638,9.44,8.2,8.27,,,0.0,0.0
51,Landry Shamet,PG,LAC@LAL,LAC,17.33,3465,3500,-35,19.09,3181,15.76,17.75,15.57,GTD,Illness,0.0,0.0
52,Miye Oni,SG,UTA@NO,UTA,0.0,0,3500,-3500,0.0,0,0.28,0.0,0.0,,,0.0,0.0
53,Justin Wright-Foreman,PG,UTA@NO,UTA,3.61,722,3500,-2778,2.87,478,0.0,0.0,0.0,,,0.0,0.0
54,Johnathan Motley,PF,LAC@LAL,LAC,9.12,1824,3500,-1676,8.54,1423,4.31,4.76,4.2,,,0.0,0.0
