,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,fantasy_points,fantasy_points_8_9,predicted_points,actual_points
20,Nerlens Noel,OKLAHOMA CITY THUNDER,2020-02-27,HOME,SACRAMENTO KINGS,19.087947249225007,2.5452256171389718,0.05369343920135661,0.5710409865989541,3.4669094166556693,0.5001701208321656,0.8969035383738833,0.6143809848469166,0.4032181750089725,14.3655,0,14.752294390556585,14.863754414369446,28.9
21,Rajon Rondo,LOS ANGELES LAKERS,2020-02-27,AWAY,GOLDEN STATE WARRIORS,21.657121195569083,1.3783853631739067,0.8952112852354028,0.5801155679528811,2.223958831269087,3.608241666065067,0.09098205746326737,1.003096635001356,1.3416924569331061,16.16725,0,16.475414631558326,16.04417686708817,29.8
22,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,2020-02-27,HOME,SACRAMENTO KINGS,30.261618370119425,4.9598847110547,1.3160842726807862,4.104785378629316,7.33556009209858,4.23302588153274,0.811403012449115,0.7789372345155483,2.123683530999881,37.9255,0,35.74460346571044,35.772355761492584,29.1
23,Mitchell Robinson,NEW YORK KNICKS,2020-02-27,AWAY,PHILADELPHIA 76ERS,23.666657407426037,3.943655166648709,0.0,1.0788353902790275,8.768970876992691,0.25381006171095777,2.2438602517049686,0.8074024176598107,1.0446031726592984,33.460750000000004,0,26.690323863588716,27.978810703969152,30.6
24,Cory Joseph,SACRAMENTO KINGS,2020-02-27,AWAY,OKLAHOMA CITY THUNDER,20.87146243042736,1.554106326632204,0.7314346845652253,0.6215591970119945,2.5813934584434204,1.8098502830839545,0.24824799281868914,0.6689684737090837,0.6245241438730385,14.767750000000001,0,13.837323771280552,13.863648734440396,32.9
25,Jordan Poole,GOLDEN STATE WARRIORS,2020-02-27,HOME,LOS ANGELES LAKERS,28.171161548653515,3.562837191770308,2.226588500381684,2.765291328651457,3.3823739090521334,3.375475817878315,0.11227727803600729,0.8321687718988938,2.0054176915629505,23.490000000000002,0,26.058186962230998,26.520714089258913,25.2
26,Avery Bradley,LOS ANGELES LAKERS,2020-02-27,AWAY,GOLDEN STATE WARRIORS,24.927713585624453,1.2940347926282687,1.9271762980074543,0.6610134200699591,2.8360954400951446,1.5433619049219214,0.2545723935444588,0.920098385529518,0.8449769581105984,17.685000000000002,0,17.705163359514227,17.428004663957243,19.2
27,Myles Turner,INDIANA PACERS,2020-02-27,HOME,PORTLAND TRAIL BLAZERS,28.853201856209935,2.767893538075551,1.3002052614116244,1.4191894890229984,7.899083169867772,1.6067609219563888,2.093963279756296,1.0525088112112113,0.9713489909762649,32.27475,0,30.868277119319263,31.21270081811114,32.0
28,Alex Len,SACRAMENTO KINGS,2020-02-27,AWAY,OKLAHOMA CITY THUNDER,21.1583410348314,2.073239941342326,0.2313076975187276,0.7731448887427032,5.9323486372014775,0.5087639625767576,1.0050857900449932,0.5928573081699531,1.005239556404383,17.219,0,18.12907197688562,17.2841019107309,26.2
29,Victor Oladipo,INDIANA PACERS,2020-02-27,HOME,PORTLAND TRAIL BLAZERS,25.753190448361874,2.9766369154498817,1.8175214829243134,1.7545706104344878,2.7905215980105087,2.9863487236969393,0.2017118754794831,0.706349561728101,1.5380259503911566,17.076,0,22.379230181199958,22.17471625449681,25.4
30,Carmelo Anthony,PORTLAND TRAIL BLAZERS,2020-02-27,AWAY,INDIANA PACERS,29.499539923713147,3.975434854220307,2.229067941359548,2.844571281330802,5.1210332516600205,1.583957396585859,0.3846424867623357,0.6552998540468438,1.378729504752199,26.20025,0,27.43032422245358,27.74491832839621,25.9
31,T.J. Warren,INDIANA PACERS,2020-02-27,HOME,PORTLAND TRAIL BLAZERS,29.486296795939715,6.202338368907669,1.1249510593838143,2.4258699624279116,5.616102630618451,1.9129117252793046,0.5458727908541174,1.1288341572925786,1.5292215372869649,31.605249999999998,0,31.666107926327726,31.30898993020891,28.0
