,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,10_game_average,3_game_average,10_3_ratio,10_3_difference,hot,cold,fantasy_points,Opponent Defensive Rank vs Position,predicted_points,actual_points
80,Jevon Carter,PHOENIX SUNS,2020-02-12,HOME,GOLDEN STATE WARRIORS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,29,22.366999999999994,16.4
81,Dwight Howard,LOS ANGELES LAKERS,2020-02-12,AWAY,DENVER NUGGETS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9,22.136000000000003,26.2
82,Cam Reddish,ATLANTA HAWKS,2020-02-12,AWAY,CLEVELAND CAVALIERS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,30,22.136000000000003,25.8
83,Harry Giles,SACRAMENTO KINGS,2020-02-12,AWAY,DALLAS MAVERICKS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13,22.136000000000003,17.0
84,Victor Oladipo,INDIANA PACERS,2020-02-12,HOME,MILWAUKEE BUCKS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,8,22.366999999999994,19.6
85,DeAndre Jordan,BROOKLYN NETS,2020-02-12,HOME,TORONTO RAPTORS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,22.366999999999994,26.0
86,Tony Bradley,UTAH JAZZ,2020-02-12,HOME,MIAMI HEAT,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13,22.366999999999994,18.2
87,De'Aaron Fox,SACRAMENTO KINGS,2020-02-12,AWAY,DALLAS MAVERICKS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,21,22.136000000000003,30.6
88,Josh Okogie,MINNESOTA TIMBERWOLVES,2020-02-12,HOME,CHARLOTTE HORNETS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,24,22.366999999999994,25.2
89,Dewayne Dedmon,ATLANTA HAWKS,2020-02-12,AWAY,CLEVELAND CAVALIERS,20.45,3.77,1.27,1.61,8.6,1.54,1.84,1.26,1.34,28.7,24.35,34.27,0.7187411397788489,-9.920000000000002,1.3994433146013447,0.0,0,28,33.54999999999999,30.3
90,Wesley Iwundu,ORLANDO MAGIC,2020-02-12,HOME,DETROIT PISTONS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3,22.366999999999994,13.7
91,Damion Lee,GOLDEN STATE WARRIORS,2020-02-12,AWAY,PHOENIX SUNS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,25,22.136000000000003,28.5
92,Ian Mahinmi,WASHINGTON WIZARDS,2020-02-12,AWAY,NEW YORK KNICKS,22.57,2.32,0.11,1.08,4.9,0.49,0.96,0.45,0.81,17.07,18.7,16.6,1.1193181818181817,2.099999999999998,0.0,0.0,0,3,16.085,28.5
93,Eric Paschall,GOLDEN STATE WARRIORS,2020-02-12,AWAY,PHOENIX SUNS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,16,22.136000000000003,19.2
94,Ricky Rubio,PHOENIX SUNS,2020-02-12,HOME,GOLDEN STATE WARRIORS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,29,22.366999999999994,29.5
95,De'Anthony Melton,MEMPHIS GRIZZLIES,2020-02-12,HOME,PORTLAND TRAIL BLAZERS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,13,22.366999999999994,19.8
96,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,2020-02-12,AWAY,DENVER NUGGETS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,5,22.136000000000003,24.9
97,Jerami Grant,DENVER NUGGETS,2020-02-12,HOME,LOS ANGELES LAKERS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,10,22.366999999999994,25.9
98,Willy Hernangómez,CHARLOTTE HORNETS,2020-02-12,AWAY,MINNESOTA TIMBERWOLVES,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,10,22.136000000000003,20.9
99,Eric Bledsoe,MILWAUKEE BUCKS,2020-02-12,AWAY,INDIANA PACERS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,6,22.136000000000003,26.2
100,Jeremy Lamb,INDIANA PACERS,2020-02-12,HOME,MILWAUKEE BUCKS,27.59,3.01,1.23,1.47,3.89,1.77,0.33,0.9,0.97,21.55,22.56,24.97,0.9072006160954947,-2.41,0.0,0.0,0,8,21.223,25.7
101,Kyle Anderson,MEMPHIS GRIZZLIES,2020-02-12,HOME,PORTLAND TRAIL BLAZERS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,29,22.366999999999994,23.299999999999997
102,Domantas Sabonis,INDIANA PACERS,2020-02-12,HOME,MILWAUKEE BUCKS,23.37,2.9,1.2,1.76,4.41,2.47,0.47,0.7,1.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,7,22.366999999999994,31.799999999999997
103,Khris Middleton,MILWAUKEE BUCKS,2020-02-12,AWAY,INDIANA PACERS,23.61,2.87,1.2,1.75,4.33,2.38,0.45,0.74,1.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,22.136000000000003,29.5
