Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Sekou Doumbouya (16747819),Sekou Doumbouya,16747819,PF/F/UTIL,3000,CHI@DET 03/21/2021 07:00PM ET,DET,8.36
PF/C,Luke Kornet (16747868),Luke Kornet,16747868,PF/C/F/UTIL,3000,CHI@DET 03/21/2021 07:00PM ET,CHI,5.94
PF/C,Tyler Cook (16747872),Tyler Cook,16747872,PF/C/F/UTIL,3000,CHI@DET 03/21/2021 07:00PM ET,DET,3.05
PG,Killian Hayes (16747879),Killian Hayes,16747879,PG/G/UTIL,3000,CHI@DET 03/21/2021 07:00PM ET,DET,11.07
PG,Devon Dotson (16747894),Devon Dotson,16747894,PG/G/UTIL,3000,CHI@DET 03/21/2021 07:00PM ET,CHI,5.25
PG,Ryan Arcidiacono (16747903),Ryan Arcidiacono,16747903,PG/G/UTIL,3000,CHI@DET 03/21/2021 07:00PM ET,CHI,7.75
PG/SG,Adam Mokoka (16747931),Adam Mokoka,16747931,PG/SG/G/UTIL,3000,CHI@DET 03/21/2021 07:00PM ET,CHI,3.44
SF,Chandler Hutchison (16747948),Chandler Hutchison,16747948,SF/F/UTIL,3000,CHI@DET 03/21/2021 07:00PM ET,CHI,6.29
SG/SF,Deividas Sirvydis (16748004),Deividas Sirvydis,16748004,SG/SF/F/G/UTIL,3000,CHI@DET 03/21/2021 07:00PM ET,DET,1
C,Vincent Poirier (16747813),Vincent Poirier,16747813,C/UTIL,3000,PHI@NY 03/21/2021 08:00PM ET,PHI,3.18
PF,Obi Toppin (16747822),Obi Toppin,16747822,PF/F/UTIL,3000,PHI@NY 03/21/2021 08:00PM ET,NY,9.21
PF,Ignas Brazdeikis (16747825),Ignas Brazdeikis,16747825,PF/F/UTIL,3000,PHI@NY 03/21/2021 08:00PM ET,NY,1.38
PF,Paul Reed (16747837),Paul Reed,16747837,PF/F/UTIL,3000,PHI@NY 03/21/2021 08:00PM ET,PHI,7.29
PG,Jared Harper (16747885),Jared Harper,16747885,PG/G/UTIL,3000,PHI@NY 03/21/2021 08:00PM ET,NY,0.5
PG/SG,Austin Rivers (16747911),Austin Rivers,16747911,PG/SG/G/UTIL,3000,PHI@NY 03/21/2021 08:00PM ET,NY,14.42
