,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,Projected Draftkings Points,Projected Draftkings Value,FPPG (Fanduel),10 Game Average (Fanduel),3 Game Average (Fanduel),Opponent Defensive Rank vs Position,Injury Indicator,Injury Details,Hot,Cold
87,Gary Trent,SG,MEM@POR,POR,13.69,2738,3700,-962,12.34,2057,13.65,22.74,22.93,22.0,,,0.0,0.0
88,Robert Williams,C,BOS@MIL,BOS,14.84,2968,3700,-732,14.55,2425,16.72,0.0,0.0,8.0,,,0.0,0.0
89,Moritz Wagner,C,PHO@WAS,WAS,22.41,4482,3700,782,24.19,4032,19.6,15.56,12.93,12.0,,,0.0,0.0
90,Anfernee Simons,PG,MEM@POR,POR,15.79,3158,3700,-542,15.9,2650,14.43,15.03,10.6,22.0,,,0.0,0.0
91,John Konchar,SG,MEM@POR,MEM,12.67,2533,3700,-1167,12.0,2000,10.78,9.53,18.0,16.0,,,1.7523947457057782,0.0
92,Justin Jackson,SF,HOU@DAL,DAL,14.27,2854,3700,-846,14.06,2343,10.81,8.62,12.07,19.0,,,0.0,0.0
93,Javonte Green,SG,BOS@MIL,BOS,8.11,1621,3600,-1979,7.93,1322,7.49,11.36,7.3,8.0,,,0.0,0.0
94,James Ennis,SF,ORL@BKN,ORL,16.16,3232,3600,-368,16.12,2687,12.95,11.06,20.5,18.0,,,2.0121258343949684,0.0
95,Mario Hezonja,SF,MEM@POR,POR,11.01,2201,3600,-1399,10.07,1679,11.84,8.74,2.67,22.0,,,0.0,0.0
96,Elie Okobo,SG,PHO@WAS,PHO,8.98,1796,3600,-1804,9.39,1565,9.93,7.0,4.17,30.0,,,0.0,0.0
97,Isaac Bonga,SF,PHO@WAS,WAS,17.68,3536,3600,-64,17.68,2947,12.24,11.9,11.1,15.0,GTD,Groin,0.0,0.0
98,Johnathan Williams,PF,PHO@WAS,WAS,19.46,3892,3600,292,18.36,3060,10.24,8.81,2.13,12.0,,,0.0,1.227261548762615
99,Sterling Brown,SG,BOS@MIL,MIL,17.44,3487,3600,-113,16.38,2730,12.02,9.6,6.57,5.0,,,0.0,0.0
100,Ben McLemore,SG,HOU@DAL,HOU,17.03,3405,3600,-195,17.64,2941,15.41,16.59,16.33,6.0,,,0.0,0.0
101,Courtney Lee,SG,HOU@DAL,DAL,11.08,2216,3600,-1384,10.76,1793,9.35,9.24,11.67,20.0,GTD,Calf,0.0,0.0
102,Semi Ojeleye,SF,BOS@MIL,BOS,4.65,930,3600,-2670,4.54,756,7.27,6.11,2.7,12.0,,,0.0,0.0
103,Jeremiah Martin,PG,ORL@BKN,BKN,7.28,1456,3500,-2044,6.85,1141,4.47,3.85,3.85,14.0,,,0.0,0.0
104,Michael Frazier,SG,HOU@DAL,HOU,7.87,1573,3500,-1927,7.08,1180,2.89,2.89,1.33,6.0,,,0.0,0.0
105,Moses Brown,C,MEM@POR,POR,8.94,1787,3500,-1713,9.18,1530,3.59,3.1,3.1,20.0,,,0.0,0.0
106,William Howard,SF,HOU@DAL,HOU,7.97,1594,3500,-1906,7.55,1258,1.45,1.45,1.45,6.0,,,0.0,0.0
107,DaQuan Jeffries,SF,SAC@SA,SAC,3.06,612,3500,-2888,2.96,492,2.12,2.0,2.67,25.0,,,0.0,0.0
108,DeMarre Carroll,SF,HOU@DAL,HOU,14.05,2809,3500,-691,13.81,2302,7.83,8.68,13.23,16.0,,,0.0,0.0
109,Vic Law,SF,ORL@BKN,ORL,0.94,188,3500,-3312,1.07,179,0.24,0.0,0.0,18.0,,,0.0,0.0
110,Tariq Owens,C,PHO@WAS,PHO,2.86,572,3500,-2928,2.56,427,3.53,3.53,3.53,11.0,,,0.0,0.0
111,Tacko Fall,C,BOS@MIL,BOS,6.03,1206,3500,-2294,5.61,935,5.87,3.6,3.6,8.0,,,0.0,0.0
112,Jaylen Hoard,SF,MEM@POR,POR,12.89,2579,3500,-921,12.7,2116,7.18,9.0,12.27,22.0,,,0.0,0.0
