"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PF/C","Marquese Chriss",3600,"MIN@PHO 12/23/2017 09:00PM ET",16.346,"PHO","MIN",0,15.7,23
"C","Kosta Koufos",3600,"SA@SAC 12/23/2017 10:00PM ET",16.508,"SAC","SA",0,15.1,10.5
"PG/SG","Garrett Temple",3600,"SA@SAC 12/23/2017 10:00PM ET",16.158,"SAC","SA",0,16.6,27.5
"SF/PF","Sam Dekker",3600,"LAC@MEM 12/23/2017 08:00PM ET",9.106,"LAC","MEM",0,13.2,11.75
"PF/C","Kenneth Faried",3600,"DEN@GS 12/23/2017 08:30PM ET",15.59,"DEN","GS",0,0,0
"PG/SG","Shaun Livingston",3600,"DEN@GS 12/23/2017 08:30PM ET",11.038,"GS","DEN",0,0,0
"SG/SF","DeAndre' Bembry",3500,"DAL@ATL 12/23/2017 07:30PM ET",12.103,"ATL","DAL",0,10.8,0
"C","Miles Plumlee",3500,"DAL@ATL 12/23/2017 07:30PM ET",11.625,"ATL","DAL",0,13.6,12
"C","Jahlil Okafor",3500,"BKN@IND 12/23/2017 07:00PM ET",13.75,"BKN","IND",0,0,0
"SG/SF","Corey Brewer",3500,"POR@LAL 12/23/2017 09:30PM ET",7.655,"LAL","POR",0,14.7,2.25
"PG/SG","Bryn Forbes",3500,"SA@SAC 12/23/2017 10:00PM ET",11.555,"SA","SAC",0,13,13
"SG/SF","Terrence Ross",3500,"ORL@WAS 12/23/2017 07:00PM ET",18.795,"ORL","WAS",0,0,0
"PG/SG","Tomas Satoransky",3500,"ORL@WAS 12/23/2017 07:00PM ET",13.693,"WAS","ORL",0,12,20
"PG","Tim Frazier",3500,"ORL@WAS 12/23/2017 07:00PM ET",13.142,"WAS","ORL",0,0,0
"PF/C","Montrezl Harrell",3500,"LAC@MEM 12/23/2017 08:00PM ET",13.208,"LAC","MEM",0,14,13.75
"PF/C","Jarell Martin",3500,"LAC@MEM 12/23/2017 08:00PM ET",10.917,"MEM","LAC",0,13.5,19.75
"SG/SF","Tony Snell",3500,"MIL@CHA 12/23/2017 07:00PM ET",16.135,"MIL","CHA",0,14.8,20
"PF/C","David West",3500,"DEN@GS 12/23/2017 08:30PM ET",16.966,"GS","DEN",0,17.5,7.5
"PF","Tyler Cavanaugh",3400,"DAL@ATL 12/23/2017 07:30PM ET",12.145,"ATL","DAL",0,0,13.75
"PF/C","Daniel Theis",3400,"CHI@BOS 12/23/2017 07:30PM ET",11.864,"BOS","CHI",0,13.1,37.25
"SG/SF","Andre Roberson",3400,"OKC@UTA 12/23/2017 08:00PM ET",15.664,"OKC","UTA",0,15.1,5.25
"PG","Raul Neto",3400,"OKC@UTA 12/23/2017 08:00PM ET",9.847,"UTA","OKC",0,0,0
"C","Tyler Zeller",3400,"BKN@IND 12/23/2017 07:00PM ET",16.602,"BKN","IND",0,17.2,19.25
"PF/C","Jarrett Allen",3400,"BKN@IND 12/23/2017 07:00PM ET",13.119,"BKN","IND",0,14.6,11.5
"PG/SG","Nik Stauskas",3400,"BKN@IND 12/23/2017 07:00PM ET",6.222,"BKN","IND",0,7.2,11.5
"SF/PF","Maurice Harkless",3400,"POR@LAL 12/23/2017 09:30PM ET",12.85,"POR","LAL",0,0,35
"PF/C","Zach Collins",3400,"POR@LAL 12/23/2017 09:30PM ET",8.117,"POR","LAL",0,13.3,26
"PF/C","Gorgui Dieng",3400,"MIN@PHO 12/23/2017 09:00PM ET",15.681,"MIN","PHO",0,15.7,30.25
"SF/PF","Dragan Bender",3400,"MIN@PHO 12/23/2017 09:00PM ET",12.794,"PHO","MIN",0,16,8.75
"PG/SG","Tyus Jones",3400,"MIN@PHO 12/23/2017 09:00PM ET",12.375,"MIN","PHO",0,10.5,11
"SF/PF","Davis Bertans",3400,"SA@SAC 12/23/2017 10:00PM ET",9.42,"SA","SAC",0,0,2.5
"SG","Brandon Paul",3400,"SA@SAC 12/23/2017 10:00PM ET",8.225,"SA","SAC",0,7.2,0
"PG/SG","Shelvin Mack",3400,"ORL@WAS 12/23/2017 07:00PM ET",13.94,"ORL","WAS",0,13,0
"C","Ian Mahinmi",3400,"ORL@WAS 12/23/2017 07:00PM ET",10.931,"WAS","ORL",0,12.2,17
"SG/SF","Arron Afflalo",3400,"ORL@WAS 12/23/2017 07:00PM ET",5.598,"ORL","WAS",0,5.4,0
"PG","Jawun Evans",3400,"LAC@MEM 12/23/2017 08:00PM ET",11.217,"LAC","MEM",0,9.2,3.5
"SG","CJ Williams",3400,"LAC@MEM 12/23/2017 08:00PM ET",9.132,"LAC","MEM",0,15.3,16.75
"PF/C","Thon Maker",3400,"MIL@CHA 12/23/2017 07:00PM ET",12.543,"MIL","CHA",0,13,13.75
"PG/SG","Jameer Nelson",3400,"NO@MIA 12/23/2017 08:00PM ET",16.981,"NO","MIA",0,12.4,12.25
"SF/PF","Kevon Looney",3400,"DEN@GS 12/23/2017 08:30PM ET",8.708,"GS","DEN",0,0,3.5
"SG/SF","Paul Zipser",3300,"CHI@BOS 12/23/2017 07:30PM ET",9.759,"CHI","BOS",0,6.2,11.25
"PG","Shane Larkin",3300,"CHI@BOS 12/23/2017 07:30PM ET",7.84,"BOS","CHI",0,8.6,0
"SG/SF","Alex Abrines",3300,"OKC@UTA 12/23/2017 08:00PM ET",9.828,"OKC","UTA",0,5.7,9.25
"PF/C","Quincy Acy",3300,"BKN@IND 12/23/2017 07:00PM ET",12.09,"BKN","IND",0,13,8.5
"SG/SF","Pat Connaughton",3300,"POR@LAL 12/23/2017 09:30PM ET",11.089,"POR","LAL",0,13,16.75
"SF/PF","Nemanja Bjelica",3300,"MIN@PHO 12/23/2017 09:00PM ET",13.514,"MIN","PHO",0,0,0
"SG/SF","Shabazz Muhammad",3300,"MIN@PHO 12/23/2017 09:00PM ET",7.25,"MIN","PHO",0,0,0
"PF/C","Skal Labissiere",3300,"SA@SAC 12/23/2017 10:00PM ET",14.466,"SAC","SA",0,0,0
"SF/PF","Jakarr Sampson",3300,"SA@SAC 12/23/2017 10:00PM ET",13.75,"SAC","SA",0,0,0
"SF/PF","Jonathan Isaac",3300,"ORL@WAS 12/23/2017 07:00PM ET",14.482,"ORL","WAS",0,0,0
