slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
loveke01,Kevin Love,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,LOSS,1751,3,13,0,5,4,4,1,10,4,1,0,5,2,3.8
reynoca01,Cameron Reynolds,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,LOSS,357,2,5,0,1,1,1,1,1,1,0,0,0,1,3.6
koufoko01,Kosta Koufos,SACRAMENTO KINGS,AWAY,DALLAS MAVERICKS,WIN,403,1,1,0,0,2,4,0,1,1,0,0,0,1,3.5
mccawpa01,Patrick McCaw,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,1047,2,3,0,0,0,0,0,1,1,3,0,2,3,3.5
rosste01,Terrence Ross,ORLANDO MAGIC,AWAY,MIAMI HEAT,WIN,1820,3,13,3,11,1,2,0,4,1,1,1,1,2,3.5
milleda01,Darius Miller,NEW ORLEANS PELICANS,HOME,ATLANTA HAWKS,LOSS,1692,4,11,1,5,0,0,0,2,5,0,0,3,2,3.2
shumpim01,Iman Shumpert,HOUSTON ROCKETS,AWAY,MILWAUKEE BUCKS,LOSS,959,2,6,2,5,0,0,0,3,0,1,1,2,0,3.2
huertke01,Kevin Huerter,ATLANTA HAWKS,AWAY,NEW ORLEANS PELICANS,WIN,1790,3,12,2,7,0,0,0,1,3,2,0,1,3,3.0
baynear01,Aron Baynes,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,WIN,1490,2,2,0,0,0,0,1,1,1,0,1,1,5,2.8
luwawti01,Timothe Luwawu-Cabarrot,CHICAGO BULLS,AWAY,TORONTO RAPTORS,LOSS,1687,3,7,2,4,0,0,0,2,1,0,0,2,2,2.8
bazemke01,Kent Bazemore,ATLANTA HAWKS,AWAY,NEW ORLEANS PELICANS,WIN,684,0,6,0,3,2,2,1,1,3,1,1,0,0,2.6
chandwi01,Wilson Chandler,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,918,3,8,0,3,0,0,0,6,0,1,0,1,2,2.6
carusal01,Alex Caruso,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,1209,1,3,1,3,1,2,0,3,3,0,0,2,1,2.5
chrisma01,Marquese Chriss,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,LOSS,720,3,5,1,1,0,2,0,2,0,0,0,1,3,2.3
davisde01,Deyonta Davis,ATLANTA HAWKS,AWAY,NEW ORLEANS PELICANS,WIN,378,0,0,0,0,2,2,1,0,0,0,0,0,1,2.3
middlkh01,Khris Middleton,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,2046,6,23,1,8,0,0,1,4,0,2,0,1,0,2.2
whitede01,Derrick White,SAN ANTONIO SPURS,AWAY,CHARLOTTE HORNETS,LOSS,1765,0,10,0,4,4,4,1,4,7,2,2,3,5,2.2
biyombi01,Bismack Biyombo,CHARLOTTE HORNETS,HOME,SAN ANTONIO SPURS,WIN,787,1,3,0,0,0,0,1,3,2,1,0,1,3,2.1
makerth01,Thon Maker,DETROIT PISTONS,AWAY,DENVER NUGGETS,LOSS,1207,1,3,0,2,0,0,0,3,1,1,0,0,2,2.1
johnsja01,James Johnson,MIAMI HEAT,HOME,ORLANDO MAGIC,LOSS,1262,0,4,0,1,0,0,0,7,3,1,0,0,1,2.0
machasc01,Scott Machado,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,66,1,2,0,0,1,1,0,0,0,0,0,0,0,2.0
pachuza01,Zaza Pachulia,DETROIT PISTONS,AWAY,DENVER NUGGETS,LOSS,317,1,2,0,0,0,0,1,1,0,0,0,0,0,2.0
riverau01,Austin Rivers,HOUSTON ROCKETS,AWAY,MILWAUKEE BUCKS,LOSS,1188,2,6,1,2,0,0,1,1,0,1,0,0,4,2.0
diallch01,Cheick Diallo,NEW ORLEANS PELICANS,HOME,ATLANTA HAWKS,LOSS,1135,2,5,0,0,1,2,2,4,0,0,0,1,4,1.9
bryanth01,Thomas Bryant,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,1658,3,7,1,4,0,0,2,4,1,0,0,4,2,1.8
nwabada01,David Nwaba,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,LOSS,1065,1,2,0,1,0,0,0,4,0,0,0,0,1,1.8
harride01,Devin Harris,DALLAS MAVERICKS,HOME,SACRAMENTO KINGS,LOSS,711,1,5,1,3,0,0,0,3,3,0,0,0,3,1.7
mcraejo01,Jordan McRae,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,960,3,10,0,5,0,0,0,3,0,1,0,0,1,1.7
meeksjo01,Jodie Meeks,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,297,1,2,0,0,0,0,0,0,0,0,1,0,0,1.7
wallaty01,Tyrone Wallace,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,912,1,3,0,1,2,2,0,3,1,0,0,1,3,1.7
gasolma01,Marc Gasol,TORONTO RAPTORS,HOME,CHICAGO BULLS,WIN,1207,1,6,0,0,0,0,0,6,1,1,2,1,2,1.3
smithis01,Ish Smith,DETROIT PISTONS,AWAY,DENVER NUGGETS,LOSS,1044,2,9,1,3,0,0,1,4,1,0,0,0,2,1.3
yabusgu01,Guerschon Yabusele,BOSTON CELTICS,AWAY,CLEVELAND CAVALIERS,WIN,379,1,1,0,0,0,0,1,1,0,0,0,1,1,1.3
gallola01,Langston Galloway,DETROIT PISTONS,AWAY,DENVER NUGGETS,LOSS,1320,1,6,0,5,2,2,0,2,2,0,0,0,3,1.0
tuckepj01,P.J. Tucker,HOUSTON ROCKETS,AWAY,MILWAUKEE BUCKS,LOSS,2130,1,9,1,8,0,0,2,3,2,2,0,1,2,1.0
brownbr01,Bruce Brown,DETROIT PISTONS,AWAY,DENVER NUGGETS,LOSS,835,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7
greenje02,Jeff Green,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,1230,1,3,0,1,2,2,1,1,0,1,0,2,4,0.7
harteis01,Isaiah Hartenstein,HOUSTON ROCKETS,AWAY,MILWAUKEE BUCKS,LOSS,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7
monkma01,Malik Monk,CHARLOTTE HORNETS,HOME,SAN ANTONIO SPURS,WIN,804,2,6,1,4,0,0,0,1,0,1,0,1,3,0.7
knighbr03,Brandon Knight,CLEVELAND CAVALIERS,HOME,BOSTON CELTICS,LOSS,965,2,6,1,3,0,0,0,0,0,0,0,1,1,0.2
bongais01,Isaac Bonga,LOS ANGELES LAKERS,HOME,WASHINGTON WIZARDS,WIN,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
browntr01,Troy Brown,WASHINGTON WIZARDS,AWAY,LOS ANGELES LAKERS,LOSS,1529,3,10,0,1,0,1,1,3,1,0,1,2,2,0.0
colsobo01,Bonzie Colson,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
pondequ01,Quincy Pondexter,SAN ANTONIO SPURS,AWAY,CHARLOTTE HORNETS,LOSS,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
thornsi01,Sindarius Thornwell,LOS ANGELES CLIPPERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
walkelo01,Lonnie Walker,SAN ANTONIO SPURS,AWAY,CHARLOTTE HORNETS,LOSS,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
fraziti01,Tim Frazier,MILWAUKEE BUCKS,HOME,HOUSTON ROCKETS,WIN,75,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
leuerjo01,Jon Leuer,DETROIT PISTONS,AWAY,DENVER NUGGETS,LOSS,186,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
terreja01,Jared Terrell,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES CLIPPERS,LOSS,97,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4
