Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
56311-15542,SG,Spencer,Spencer Dinwiddie,Dinwiddie,17.6999994913737,3,4100,HOU@BKN,BKN,HOU,O,Knee,,,,SG
56311-15559,SG,Jeremy,Jeremy Lamb,Lamb,20.300000871930802,28,4100,MIA@IND,IND,MIA,GTD,Toe,,,,SG
56311-81621,PF,Maxi,Maxi Kleber,Kleber,19.68484774502841,33,4100,DAL@BOS,DAL,BOS,,,,,,PF
56311-84703,SG,De'Anthony,De'Anthony Melton,Melton,21.837499618530273,32,4100,UTA@MEM,MEM,UTA,,,,,,SG
56311-110318,PF,Grant,Grant Williams,Williams,12.328204815204327,39,4100,DAL@BOS,BOS,DAL,,,,,,PF
56311-110331,SG,Ty,Ty Jerome,Jerome,20.878570556640625,14,4100,TOR@OKC,OKC,TOR,,,,,,SG
56311-111372,SF,Thanasis,Thanasis Antetokounmpo,Antetokounmpo,8.158823349896599,34,4100,MIL@LAL,MIL,LAL,,,,,,SF
56311-15904,SG,Rodney,Rodney Hood,Hood,9.997560826743522,41,4000,TOR@OKC,TOR,OKC,,,,,,SG
56311-58084,SF,Justise,Justise Winslow,Winslow,17.524999618530273,16,4000,UTA@MEM,MEM,UTA,O,Quadriceps,,,,SF
56311-110317,PG,Jaylen,Jaylen Nowell,Nowell,17.40000036991004,33,4000,NY@MIN,MIN,NY,,,,,,PG
56311-9466,PG,D.J.,D.J. Augustin,Augustin,13.948836925417877,43,4000,HOU@BKN,HOU,BKN,,,,,,PG
56311-20277,SG,Torrey,Torrey Craig,Craig,11.074999491373697,24,4000,CHI@PHO,PHO,CHI,,,,,,SG
56311-58270,PG,Edmond,Edmond Sumner,Sumner,9.109375,32,4000,MIA@IND,IND,MIA,,,,,,PG
56311-145314,PF,Precious,Precious Achiuwa,Achiuwa,12.213332790798612,45,4000,MIA@IND,MIA,IND,,,,,,PF
56311-145335,PG,Payton,Payton Pritchard,Pritchard,14.253659132050306,41,4000,DAL@BOS,BOS,DAL,,,,,,PG
56311-58350,SF,Stanley,Stanley Johnson,Johnson,9.514634295207697,41,4000,TOR@OKC,TOR,OKC,,,,,,SF
56311-23120,SF,T.J.,T.J. Warren,Warren,22.075000762939453,4,3900,MIA@IND,IND,MIA,O,Foot,,,,SF
56311-49336,SG,DeAndre',DeAndre' Bembry,Bembry,12.418749809265137,32,3900,TOR@OKC,TOR,OKC,O,Covid-19,,,,SG
56311-9956,SG,Wayne,Wayne Ellington,Ellington,16.064706241383274,34,3900,POR@DET,DET,POR,GTD,Calf,,,,SG
56311-63826,C,Boban,Boban Marjanovic,Marjanovic,10.059091047807174,22,3900,DAL@BOS,DAL,BOS,,,,,,C
56311-9581,C,Marc,Marc Gasol,Gasol,16.69210494192023,38,3900,MIL@LAL,LAL,MIL,,,,,,C
56311-15727,SG,Ben,Ben McLemore,McLemore,12.716129426033266,31,3900,HOU@BKN,HOU,BKN,,,,,,SG
56311-101387,PG,Gabe,Gabe Vincent,Vincent,10.415624618530273,32,3800,MIA@IND,MIA,IND,GTD,Knee,,,,PG
56311-12351,C,Derrick,Derrick Favors,Favors,17.74772782759233,44,3800,UTA@MEM,UTA,MEM,,,,,,C
56311-9939,SG,Patty,Patty Mills,Mills,19.609302609465843,43,3800,SAC@SA,SA,SAC,,,,,,SG
56311-16604,SF,Justin,Justin Holiday,Holiday,22.473333062065972,45,3800,MIA@IND,IND,MIA,,,,,,SF
56311-84714,PF,Moritz,Moritz Wagner,Wagner,14.221429007393974,28,3800,DAL@BOS,BOS,DAL,,,,,,PF
56311-23788,PG,Bryn,Bryn Forbes,Forbes,11.968888346354166,45,3800,MIL@LAL,MIL,LAL,,,,,,PG
56311-97018,PG,Chris,Chris Chiozza,Chiozza,10.731249809265137,16,3800,HOU@BKN,BKN,HOU,,,,,,PG
56311-55056,PF,Dario,Dario Saric,Saric,17.707142421177455,28,3800,CHI@PHO,PHO,CHI,,,,,,PF
56311-110358,SG,Kyle,Kyle Guy,Guy,6.352631418328536,19,3800,SAC@SA,SAC,SA,,,,,,SG
56311-23981,PG,Alex,Alex Caruso,Caruso,15.794595254434121,37,3800,MIL@LAL,LAL,MIL,,,,,,PG
56311-16376,SF,Dorian,Dorian Finney-Smith,Finney-Smith,19.855881634880514,34,3800,DAL@BOS,DAL,BOS,,,,,,SF
56311-12342,PF,Al-Farouq,Al-Farouq Aminu,Aminu,16.927778455946182,18,3700,CHI@PHO,CHI,PHO,,,,,,PF
56311-9799,SG,Wesley,Wesley Matthews,Matthews,9.99749984741211,40,3700,MIL@LAL,LAL,MIL,,,,,,SG
56311-58461,PF,Trey,Trey Lyles,Lyles,11.052173780358356,23,3700,SAC@SA,SA,SAC,O,Ankle,,,,PF
56311-70822,PF,Juancho,Juancho Hernangomez,Hernangomez,14.135713849748884,28,3700,NY@MIN,MIN,NY,,,,,,PF
56311-84689,SF,Josh,Josh Okogie,Okogie,12.941666497124565,36,3700,NY@MIN,MIN,NY,GTD,Covid-19,,,,SF
56311-145623,PF,Mamadi,Mamadi Diakite,Diakite,9.759999847412109,5,3700,MIL@LAL,MIL,LAL,,,,,,PF
56311-84713,SG,Svi,Svi Mykhailiuk,Mykhailiuk,13.823808942522321,42,3700,TOR@OKC,OKC,TOR,,,,,,SG
56311-18256,SF,Doug,Doug McDermott,McDermott,20.26976687409157,43,3700,MIA@IND,IND,MIA,GTD,Ankle,,,,SF
56311-48598,SF,Semi,Semi Ojeleye,Ojeleye,10.384999847412109,40,3700,DAL@BOS,BOS,DAL,O,Hip,,,,SF
56311-37931,C,Aron,Aron Baynes,Baynes,14.586363358931107,44,3600,TOR@OKC,TOR,OKC,,,,,,C
