,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,predicted_points,actual_points
72,Glenn Robinson,PHILADELPHIA 76ERS,2020-02-11,HOME,LOS ANGELES CLIPPERS,25.532833333333333,3.7228840000000005,1.5877599999999998,1.9629930000000004,4.969794,3.3803600000000005,0.5803200000000001,1.23168,1.4117700000000002,26.987000000000002,29.230563800000002,10.7
73,Jerome Robinson,WASHINGTON WIZARDS,2020-02-11,HOME,CHICAGO BULLS,7.9505,1.0381712686315787,0.450374902631579,0.4677567878684212,1.5274149104210526,1.0823894389473685,0.12908264421052631,0.42278666763157896,0.458128732368421,4.533,8.549185287110527,13.799999999999999
74,Rudy Gay,SAN ANTONIO SPURS,2020-02-11,AWAY,OKLAHOMA CITY THUNDER,16.163666666666668,2.863919294526316,0.9520399666666668,1.534780984526316,3.941825733526316,2.1190737143859653,0.2224460821052632,0.8012244494736841,0.9620018896491228,11.723,20.136550630477192,10.8
75,Abdel Nader,OKLAHOMA CITY THUNDER,2020-02-11,HOME,SAN ANTONIO SPURS,7.3308333333333335,0.9555139349999999,0.3583002666666667,0.6402275258333334,1.41280283,0.8056354333333334,0.16914933333333335,0.4242584750000001,0.3881521916666666,4.440999999999999,7.922043975166668,13.8
76,Chandler Hutchison,CHICAGO BULLS,2020-02-11,AWAY,WASHINGTON WIZARDS,28.015,4.823454,1.23252,3.7213070000000004,6.719496,3.00524,0.6011200000000001,1.33794,1.3268300000000002,25.102999999999998,34.1273802,18.3
77,Luguentz Dort,OKLAHOMA CITY THUNDER,2020-02-11,HOME,SAN ANTONIO SPURS,20.4985,3.0231459999999997,1.32882,1.125928,4.734495,2.05296,0.54074,1.19631,1.0518399999999999,10.11,24.078824,6.4
78,Bryn Forbes,SAN ANTONIO SPURS,2020-02-11,AWAY,OKLAHOMA CITY THUNDER,25.171,1.5586260000000003,2.02646,2.221263,4.027107,3.62408,0.34166,1.26387,1.3417400000000002,21.285999999999998,25.1613934,12.1
79,Thabo Sefolosha,HOUSTON ROCKETS,2020-02-11,HOME,BOSTON CELTICS,13.132666666666667,1.7515784021754377,0.7424518540350877,0.7422189220000001,3.557338731052632,1.5810071803508774,0.5465124673684211,0.8864550000000001,0.7459354666666664,12.49,16.66601547168421,7.699999999999999
80,Mike Muscala,OKLAHOMA CITY THUNDER,2020-02-11,HOME,SAN ANTONIO SPURS,12.754333333333333,1.2574806022456138,0.9480363094736842,0.8310139585789473,2.784068239894737,1.6393748785964914,0.21417882070175437,0.622700117368421,0.7320584564912282,10.823999999999998,13.768606654978946,4.2
81,Ryan Arcidiacono,CHICAGO BULLS,2020-02-11,AWAY,WASHINGTON WIZARDS,19.117666666666665,1.9706299999999999,1.47648,1.413047,4.539048,3.21272,0.37288,1.05318,1.3056200000000002,14.474000000000002,23.022244599999997,10.1
82,JaMychal Green,LOS ANGELES CLIPPERS,2020-02-11,AWAY,PHILADELPHIA 76ERS,20.552833333333336,1.765842000000001,1.8146,1.653026,6.032273999999999,2.74284,0.5234,1.2105000000000001,1.2951100000000006,17.117,25.888088800000002,3.5999999999999996
83,Ben McLemore,HOUSTON ROCKETS,2020-02-11,HOME,BOSTON CELTICS,24.858999999999998,1.6584919999999999,2.0307399999999998,1.619313,4.117614,2.59856,0.41184000000000004,1.2113099999999999,1.10432,17.732,23.632623799999998,5.4
84,Johnathan Motley,LOS ANGELES CLIPPERS,2020-02-11,AWAY,PHILADELPHIA 76ERS,6.097666666666667,1.0956499280350875,0.24583224561403513,0.540040169263158,1.3173222555263158,0.7823370519298246,0.10635614385964914,0.3210228942105264,0.3639183745614035,6.995,7.1413477863508765,1.5
85,Moses Brown,PORTLAND TRAIL BLAZERS,2020-02-11,AWAY,NEW ORLEANS PELICANS,3.8346666666666667,0.5290620979649122,0.15459761403508773,0.4389922363508772,0.8120140783157895,0.446928381754386,0.0966739649122807,0.20006061473684209,0.21360506105263158,3.043,4.282317418891228,9.1
86,Alec Burks,PHILADELPHIA 76ERS,2020-02-11,HOME,LOS ANGELES CLIPPERS,25.881333333333334,2.879056000000001,2.0949400000000002,3.954923,5.038032,3.27736,0.47948,1.2351,1.6056200000000005,28.536000000000005,30.497653400000004,5.0
