Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
92,Willie Cauley-Stein\caulewi01,C,27,DAL,31,537,14.5,.646,.054,.429,8.0,20.4,14.2,6.3,0.9,4.0,10.7,12.2,,1.0,0.6,1.6,.145,,-1.8,0.6,-1.2,0.1
93,Chris Chiozza\chiozch01,PG,25,BRK,15,136,14.2,.503,.489,.277,2.6,10.2,6.6,34.1,1.4,2.5,15.9,20.1,,0.2,0.1,0.3,.096,,-0.3,-0.5,-0.8,0.0
94,Marquese Chriss\chrisma01,PF,23,GSW,2,27,11.8,.412,.357,.286,11.8,38.5,25.3,11.1,0.0,6.6,11.3,27.9,,-0.1,0.1,0.0,-0.027,,-2.2,-1.0,-3.2,0.0
95,Gary Clark\clarkga01,SF,26,ORL,30,572,5.6,.431,.848,.080,5.1,12.4,8.6,5.8,0.9,1.0,11.5,9.8,,-0.2,0.4,0.1,.012,,-4.2,-1.1,-5.3,-0.5
96,Brandon Clarke\clarkbr01,PF,24,MEM,27,726,16.9,.559,.169,.195,6.4,17.1,11.6,8.6,2.2,2.2,5.1,18.1,,1.0,1.0,2.0,.135,,0.1,0.4,0.5,0.4
97,Jordan Clarkson\clarkjo01,SG,28,UTA,36,937,18.8,.581,.581,.113,3.6,12.4,8.2,14.4,1.8,0.6,10.0,28.3,,1.5,1.2,2.7,.137,,3.2,-0.5,2.7,1.1
98,Nicolas Claxton\claxtni01,C,21,BRK,5,76,29.7,.711,.034,.483,6.2,18.2,12.6,10.3,3.1,7.7,5.4,21.3,,0.3,0.1,0.5,.294,,3.7,4.4,8.1,0.2
99,Amir Coffey\coffeam01,SG,23,LAC,20,154,10.0,.637,.525,.225,2.2,8.5,5.5,7.1,1.3,0.0,15.4,14.9,,0.1,0.1,0.2,.061,,-1.7,-1.1,-2.8,0.0
100,John Collins\collijo01,PF,23,ATL,36,1104,19.4,.625,.274,.232,7.6,19.5,13.6,8.0,0.7,2.8,8.5,22.0,,2.7,0.9,3.6,.157,,2.2,-0.7,1.5,1.0
101,Mike Conley\conlemi01,PG,33,UTA,29,853,19.2,.588,.529,.209,3.6,8.8,6.3,28.7,2.4,0.3,12.0,22.7,,2.3,1.1,3.4,.194,,3.4,0.5,3.9,1.3
102,Pat Connaughton\connapa01,SG,28,MIL,33,697,12.7,.589,.665,.097,4.8,16.1,10.6,8.2,1.5,1.9,6.1,11.8,,1.1,0.8,1.9,.131,,0.5,0.4,0.9,0.5
103,Quinn Cook\cookqu01,PG,27,LAL,16,62,14.1,.585,.500,.192,0.0,8.9,4.5,12.1,0.8,1.4,9.6,21.9,,0.1,0.1,0.1,.108,,-0.3,-0.8,-1.1,0.0
104,Tyler Cook\cookty01,PF,23,BRK,4,17,1.6,.333,.000,.000,7.0,6.3,6.6,14.0,0.0,0.0,25.0,10.2,,0.0,0.0,0.0,-0.046,,-5.3,-1.5,-6.8,0.0
105,DeMarcus Cousins\couside01,C,30,HOU,25,506,15.1,.511,.552,.281,6.1,35.1,20.0,18.4,2.0,3.1,14.2,23.2,,-0.1,1.0,0.9,.081,,-1.5,1.9,0.4,0.3
106,Robert Covington\covinro01,PF,30,POR,33,1054,10.1,.513,.704,.115,2.6,19.7,11.0,6.9,2.5,3.3,13.5,12.1,,0.0,1.1,1.1,.048,,-2.7,1.0,-1.7,0.1
107,Torrey Craig\craigto01,SF,30,MIL,17,194,10.2,.490,.488,.047,7.2,15.2,11.3,8.0,2.2,2.7,10.2,10.6,,0.1,0.3,0.4,.096,,-2.0,0.9,-1.2,0.0
108,Jae Crowder\crowdja01,PF,30,PHO,32,883,11.7,.566,.756,.129,1.7,18.2,10.1,10.3,1.5,0.8,9.2,16.0,,0.6,1.2,1.8,.100,,-0.1,0.7,0.5,0.6
109,Jarrett Culver\culveja01,SG,21,MIN,19,376,9.3,.478,.273,.273,8.1,17.9,12.8,6.2,1.5,1.5,13.8,18.5,,-0.3,0.3,-0.1,-0.007,,-4.7,-2.0,-6.7,-0.4
110,Seth Curry\curryse01,SG,30,PHI,28,836,12.4,.614,.477,.198,0.7,6.5,3.7,13.0,1.4,0.8,12.6,16.5,,1.0,0.7,1.8,.102,,-0.3,-1.1,-1.4,0.1
111,Stephen Curry\curryst01,PG,32,GSW,35,1194,25.2,.646,.572,.274,1.5,15.2,8.4,32.6,1.8,0.1,12.1,32.5,,3.5,1.5,5.0,.200,,7.4,0.1,7.5,2.9
112,Anthony Davis\davisan02,PF,27,LAL,23,755,24.7,.588,.151,.339,7.1,21.3,14.3,15.7,2.0,4.7,9.3,27.9,,1.6,1.6,3.2,.205,,4.3,2.1,6.4,1.6
113,Ed Davis\davised01,C,31,MIN,19,264,12.1,.462,.000,.186,14.6,25.0,19.6,9.5,1.8,3.1,11.4,8.3,,0.3,0.3,0.6,.114,,-3.8,0.4,-3.4,-0.1
114,Terence Davis\daviste02,SG,23,TOR,30,442,11.7,.549,.588,.096,2.2,12.7,7.3,11.1,1.7,1.4,11.0,21.4,,0.0,0.4,0.4,.043,,-1.4,-1.2,-2.6,-0.1
115,DeMar DeRozan\derozde01,PF,31,SAS,29,981,21.6,.594,.130,.489,2.3,12.9,7.5,32.1,1.2,0.7,9.1,23.6,,3.0,1.0,4.0,.195,,3.6,0.0,3.6,1.4
116,Hamidou Diallo\diallha01,SG,22,OKC,32,761,15.1,.536,.138,.444,5.1,17.4,11.3,16.4,1.9,1.4,12.1,23.2,,0.2,1.1,1.3,.081,,-2.1,0.4,-1.7,0.1
117,Gorgui Dieng\dienggo01,C,31,MEM,22,371,19.4,.682,.444,.398,8.0,21.1,14.3,10.7,2.2,3.6,14.8,16.9,,0.9,0.6,1.5,.193,,1.7,1.0,2.6,0.4
118,Spencer Dinwiddie\dinwisp01,SG,27,BRK,3,64,10.1,.536,.438,.375,0.0,21.6,11.4,17.4,1.5,1.3,21.2,16.1,,0.0,0.1,0.1,.045,,-3.4,2.0,-1.4,0.0
119,Donte DiVincenzo\divindo01,SG,24,MIL,36,960,12.8,.528,.528,.099,4.8,13.4,9.2,14.4,1.9,0.7,11.0,17.2,,0.8,1.0,1.8,.089,,-0.2,-0.3,-0.5,0.4
120,Luka Dončić\doncilu01,PG,21,DAL,32,1125,26.2,.587,.356,.382,2.6,23.3,13.1,46.0,1.4,1.8,14.6,35.7,,2.7,1.2,4.0,.169,,6.7,0.8,7.5,2.7
121,Luguentz Dort\dortlu01,SG,21,OKC,35,1040,8.8,.511,.544,.229,2.4,9.7,6.1,7.4,1.4,0.9,11.0,19.9,,-0.8,1.1,0.3,.013,,-3.5,-1.1,-4.6,-0.7
122,Damyean Dotson\dotsoda01,SG,26,CLE,30,565,9.4,.492,.528,.132,0.8,10.0,5.3,17.1,1.0,0.6,10.3,17.7,,0.0,0.3,0.2,.019,,-2.3,-1.2,-3.5,-0.2
