PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Stephen Curry,GSW,29,1.5,5.80%,1.07,1.6,0.7,1.2,44.40%,56.90%,9.30%,11.60%,7.00%,4.70%,41.90%,75.9
Trae Young,ATL,26,1.7,6.30%,1.07,1.8,0.8,1.3,42.90%,44.30%,20.90%,2.30%,18.60%,4.70%,48.80%,75.9
Eric Gordon,HOU,22,2,11.80%,1.05,2.1,1,1.6,40.00%,44.30%,18.20%,4.50%,15.90%,2.30%,47.70%,73.1
Dennis Schroder,LAL,29,1.4,9.40%,1.07,1.6,0.4,1,57.10%,60.70%,16.70%,19.00%,16.70%,2.40%,52.40%,77.4
Jaylen Brown,BOS,26,1.9,7.90%,0.86,1.7,0.9,1.6,42.90%,47.60%,6.00%,12.00%,6.00%,2.00%,40.00%,42.5
Collin Sexton,CLE,24,2,8.90%,0.89,1.8,0.9,1.5,40.50%,50.00%,8.50%,12.80%,8.50%,0.00%,38.30%,48.5
Jordan Clarkson,UTA,29,1.8,10.70%,0.76,1.4,0.9,1.4,35.70%,41.70%,5.70%,17.00%,5.70%,1.90%,32.10%,22.4
Tobias Harris,PHI,26,1.2,6.10%,1.27,1.5,0.3,1,68.00%,68.00%,6.70%,10.00%,6.70%,0.00%,63.30%,94.8
Austin Rivers,NYK,21,1.2,15.90%,1.42,1.8,0.4,1,59.10%,79.50%,3.80%,11.50%,3.80%,0.00%,53.80%,99.3
Terry Rozier,CHA,26,1.3,7.40%,0.97,1.3,0.8,1.2,35.50%,40.30%,11.40%,0.00%,11.40%,0.00%,42.90%,60.2
Jamal Murray,DEN,26,1.8,9.40%,0.71,1.3,1.2,1.7,30.20%,33.70%,6.30%,6.30%,6.30%,2.10%,31.30%,17.9
LaMelo Ball,CHA,28,1.1,7.00%,1.03,1.2,0.4,0.8,47.80%,52.20%,21.90%,12.50%,21.90%,6.30%,50.00%,72.4
Fred VanVleet,TOR,28,1.5,7.40%,0.76,1.1,0.9,1.3,25.70%,32.90%,11.90%,4.80%,11.90%,0.00%,33.30%,24.6
Kyle Anderson,MEM,24,1.1,8.10%,1.19,1.3,0.3,0.8,60.00%,62.50%,15.40%,7.70%,15.40%,0.00%,61.50%,88.8
Montrezl Harrell,LAL,29,0.8,7.60%,1.25,1,0.3,0.7,60.00%,60.00%,16.70%,4.20%,16.70%,4.20%,62.50%,94
Jrue Holiday,MIL,23,1.4,9.00%,0.94,1.3,0.7,1.2,46.40%,51.80%,6.30%,9.40%,6.30%,3.10%,43.80%,56.7
Christian Wood,HOU,17,1.9,10.10%,0.91,1.8,0.8,1.5,46.20%,46.20%,12.10%,9.10%,12.10%,0.00%,48.50%,50.7
Darius Bazley,OKC,28,1.4,9.50%,0.76,1,0.7,1,34.50%,39.70%,7.90%,15.80%,5.30%,0.00%,34.20%,25.4
Kyle Lowry,TOR,25,0.8,4.60%,1.4,1.1,0.2,0.6,62.50%,65.60%,20.00%,0.00%,20.00%,0.00%,65.00%,98.5
Hamidou Diallo,OKC,28,1.1,8.10%,0.93,1,0.5,0.9,42.30%,42.30%,20.00%,0.00%,20.00%,6.70%,50.00%,54.5
D'Angelo Russell,MIN,20,1.8,8.60%,0.8,1.4,1,1.4,32.10%,41.10%,8.60%,11.40%,2.90%,0.00%,34.30%,29.5
Andre Drummond,CLE,25,1.7,8.10%,0.67,1.1,0.9,1.4,38.90%,38.90%,2.40%,11.90%,2.40%,0.00%,33.30%,12.9
Domantas Sabonis,IND,29,1.1,5.00%,0.87,0.9,0.4,0.8,52.20%,52.20%,6.50%,19.40%,6.50%,0.00%,45.20%,44
Ja Morant,MEM,16,1.8,8.50%,0.93,1.6,0.8,1.3,40.00%,40.00%,25.00%,14.30%,21.40%,10.70%,42.90%,53
Devonte' Graham,CHA,25,1.1,7.40%,0.93,1,0.6,0.8,30.00%,37.50%,21.40%,7.10%,21.40%,0.00%,42.90%,53
Caris LeVert,BKN,12,2.5,12.60%,0.8,2,1.3,2,37.50%,39.60%,16.70%,6.70%,16.70%,3.30%,40.00%,29.5
Gordon Hayward,CHA,26,1.3,6.50%,0.69,0.9,0.8,1.1,31.00%,34.50%,5.70%,11.40%,2.90%,0.00%,31.40%,16.4
Dejounte Murray,SAS,27,1.4,8.80%,0.62,0.9,0.8,1.2,34.40%,34.40%,5.10%,12.80%,5.10%,0.00%,33.30%,8.3
Harrison Barnes,SAC,27,0.9,6.00%,1,0.9,0.3,0.6,50.00%,59.40%,13.00%,17.40%,13.00%,0.00%,47.80%,68
Cole Anthony,ORL,25,1,7.50%,0.89,0.9,0.6,0.9,36.40%,38.60%,15.40%,3.80%,15.40%,3.80%,42.30%,46.3
Nikola Vucevic,ORL,29,0.9,4.20%,0.82,0.8,0.5,0.9,40.00%,40.00%,3.70%,3.70%,3.70%,0.00%,40.70%,32.1
Jeff Teague,BOS,23,1.3,17.20%,0.76,1,0.6,0.9,33.30%,38.10%,10.30%,17.20%,10.30%,0.00%,34.50%,23.1
Immanuel Quickley,NYK,26,1,8.20%,0.84,0.8,0.5,0.8,35.00%,42.50%,12.00%,12.00%,8.00%,4.00%,36.00%,38.1
Lou Williams,LAC,28,0.8,6.30%,0.87,0.7,0.5,0.7,31.60%,36.80%,13.00%,4.30%,13.00%,0.00%,39.10%,43.3
Eric Bledsoe,NOP,27,0.6,4.50%,1.19,0.7,0.2,0.5,57.10%,67.90%,0.00%,12.50%,0.00%,0.00%,50.00%,87.3
