PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Nene,HOU,67,0.5,5.60%,0.71,0.3,0.3,0.4,34.60%,34.60%,12.90%,6.50%,9.70%,3.20%,38.70%,30.5
Marcus Thornton,WAS,33,0.5,6.20%,1.4,0.6,0.1,0.3,72.70%,90.90%,6.70%,26.70%,6.70%,6.70%,53.30%,99.7
Bojan Bogdanovic,WAS,26,0.7,5.90%,1.17,0.8,0.3,0.5,41.70%,54.20%,22.20%,11.10%,11.10%,0.00%,50.00%,96.9
Josh Richardson,MIA,53,0.5,4.50%,0.78,0.4,0.3,0.4,34.80%,39.10%,7.40%,7.40%,7.40%,0.00%,37.00%,40.8
Nemanja Bjelica,MIN,65,0.4,6.60%,0.72,0.3,0.2,0.3,42.90%,45.20%,6.90%,24.10%,6.90%,3.40%,34.50%,32.9
Jordan Crawford,NOP,19,1.1,8.40%,0.95,1.1,0.6,1,36.80%,39.50%,14.30%,0.00%,9.50%,4.80%,42.90%,74.2
Shabazz Muhammad,MIN,78,0.4,4.60%,0.59,0.3,0.3,0.4,17.90%,17.90%,14.70%,0.00%,17.60%,0.00%,29.40%,16
Khris Middleton,MIL,29,1.3,8.80%,0.53,0.7,0.8,1.1,25.80%,27.40%,5.30%,13.20%,5.30%,0.00%,26.30%,10.2
Kyle Anderson,SAS,72,0.2,5.40%,1.27,0.3,0,0.1,50.00%,50.00%,46.70%,13.30%,33.30%,0.00%,66.70%,98
Pau Gasol,SAS,64,0.2,2.00%,1.27,0.3,0,0.2,72.70%,72.70%,26.70%,0.00%,20.00%,0.00%,66.70%,98
C.J. Watson,ORL,62,0.3,6.20%,0.95,0.3,0.1,0.3,43.80%,46.90%,15.00%,10.00%,15.00%,5.00%,45.00%,73.9
Sergio Rodriguez,PHI,68,0.5,5.40%,0.53,0.3,0.3,0.5,25.80%,29.00%,2.80%,11.10%,2.80%,0.00%,25.00%,10.8
Tomas Satoransky,WAS,57,0.2,6.10%,1.5,0.3,0,0.2,81.80%,81.80%,8.30%,8.30%,8.30%,8.30%,75.00%,100
James Ennis III,MEM,64,0.3,4.00%,1.06,0.3,0.1,0.2,54.50%,63.60%,17.60%,17.60%,11.80%,0.00%,52.90%,91.5
Serge Ibaka,TOR,23,0.8,5.40%,1,0.8,0.3,0.6,53.80%,53.80%,11.10%,16.70%,11.10%,0.00%,50.00%,82.6
Marreese Speights,LAC,82,0.3,3.40%,0.78,0.2,0.1,0.2,37.50%,40.60%,13.00%,21.70%,13.00%,4.30%,34.80%,41.4
Jordan McRae,CLE,37,0.7,15.20%,0.67,0.5,0.4,0.6,33.30%,35.40%,3.70%,7.40%,3.70%,0.00%,33.30%,23.6
Ricky Rubio,MIN,75,0.4,2.90%,0.64,0.2,0.2,0.3,21.10%,21.10%,25.00%,10.70%,17.90%,3.60%,32.10%,21.7
Shelvin Mack,UTA,55,0.5,6.00%,0.6,0.3,0.3,0.4,34.80%,37.00%,3.30%,20.00%,3.30%,0.00%,30.00%,17.3
Jaylen Brown,BOS,78,0.5,6.70%,0.5,0.2,0.3,0.4,19.40%,22.60%,8.30%,8.30%,5.60%,2.80%,22.20%,7.9
Rudy Gobert,UTA,81,0.2,1.80%,0.94,0.2,0,0.1,42.90%,42.90%,38.90%,22.20%,33.30%,0.00%,55.60%,73.5
Willy Hernangomez,NYK,72,0.3,3.10%,0.9,0.2,0.1,0.2,53.80%,53.80%,15.80%,21.10%,10.50%,5.30%,47.40%,62.4
Skal Labissiere,SAC,33,0.6,6.90%,0.85,0.5,0.3,0.5,47.10%,47.10%,10.00%,10.00%,10.00%,5.00%,40.00%,53.9
Boris Diaw,UTA,73,0.3,4.90%,0.81,0.2,0.2,0.3,40.00%,40.00%,4.80%,4.80%,4.80%,4.80%,38.10%,47.3
Nick Young,LAL,60,0.4,3.00%,0.81,0.3,0.2,0.3,29.40%,29.40%,14.30%,4.80%,14.30%,0.00%,38.10%,47.3
Gary Harris,DEN,57,0.4,2.90%,0.77,0.3,0.2,0.3,31.30%,34.40%,18.20%,9.10%,13.60%,0.00%,40.90%,39.3
DeMarre Carroll,TOR,72,0.3,3.60%,0.71,0.2,0.2,0.2,20.00%,20.00%,25.00%,12.50%,20.80%,0.00%,37.50%,29.9
Serge Ibaka,ORL,56,0.4,3.00%,0.71,0.3,0.3,0.4,33.30%,33.30%,8.30%,4.20%,8.30%,0.00%,37.50%,29.9
Michael Carter-Williams,CHI,45,0.7,7.40%,0.57,0.4,0.3,0.5,31.80%,31.80%,16.70%,20.00%,16.70%,10.00%,30.00%,13.9
Tyreke Evans,NOP,26,1.3,11.40%,0.52,0.7,0.9,1.2,25.80%,27.40%,0.00%,6.10%,0.00%,0.00%,24.20%,9.5
Maurice Harkless,POR,77,0.3,2.80%,0.76,0.2,0.2,0.2,33.30%,33.30%,9.50%,4.80%,9.50%,0.00%,38.10%,38.1
Alec Burks,UTA,42,0.6,8.30%,0.62,0.4,0.3,0.4,23.50%,23.50%,26.90%,11.50%,23.10%,3.80%,38.50%,19.4
Kyle O'Quinn,NYK,79,0.4,5.70%,0.53,0.2,0.3,0.3,25.90%,25.90%,3.30%,6.70%,3.30%,0.00%,26.70%,11.2
Cody Zeller,CHA,62,0.2,2.50%,1,0.2,0.1,0.2,42.90%,42.90%,13.30%,0.00%,13.30%,6.70%,46.70%,82.6
Richard Jefferson,CLE,79,0.2,3.90%,0.88,0.2,0.1,0.2,37.50%,43.80%,5.90%,0.00%,5.90%,0.00%,41.20%,59.7
Alan Anderson,LAC,30,0.6,19.10%,0.83,0.5,0.3,0.5,40.00%,46.70%,5.60%,11.10%,5.60%,0.00%,38.90%,50.2
Semaj Christon,OKC,64,0.3,7.50%,0.71,0.2,0.2,0.3,36.80%,36.80%,4.80%,4.80%,4.80%,0.00%,38.10%,31
Stanley Johnson,DET,77,0.3,4.80%,0.68,0.2,0.2,0.2,27.80%,30.60%,9.10%,9.10%,4.50%,0.00%,31.80%,25.5
Matthew Dellavedova,MIL,76,0.4,4.00%,0.54,0.2,0.2,0.3,15.00%,15.00%,17.90%,10.70%,10.70%,0.00%,28.60%,11.9
Gorgui Dieng,MIN,82,0.2,1.50%,1.08,0.2,0.1,0.2,53.80%,53.80%,0.00%,0.00%,0.00%,0.00%,53.80%,92.5
Matt Barnes,SAC,54,0.3,2.80%,1,0.3,0.1,0.2,45.50%,54.50%,7.10%,14.30%,7.10%,0.00%,42.90%,82.6
Noah Vonleh,POR,74,0.2,4.30%,0.88,0.2,0.1,0.2,46.20%,50.00%,12.50%,6.30%,12.50%,0.00%,43.80%,58.3
Timothe Luwawu-Cabarrot,PHI,69,0.2,3.50%,0.82,0.2,0.1,0.2,38.50%,38.50%,11.80%,11.80%,11.80%,0.00%,41.20%,49.2
Kelly Olynyk,BOS,75,0.3,2.90%,0.74,0.2,0.1,0.2,35.70%,35.70%,15.80%,15.80%,15.80%,5.30%,36.80%,34.6
Vince Carter,MEM,73,0.3,4.00%,0.58,0.2,0.2,0.3,21.10%,26.30%,12.50%,8.30%,12.50%,0.00%,29.20%,15.6
Wade Baldwin IV,MEM,33,0.3,5.80%,1.3,0.4,0.1,0.2,66.70%,75.00%,30.00%,10.00%,30.00%,0.00%,60.00%,99
Justin Holiday,NYK,82,0.2,2.80%,0.72,0.2,0.1,0.2,23.10%,23.10%,22.20%,5.60%,16.70%,0.00%,38.90%,32.5
Isaiah Canaan,CHI,40,0.5,9.10%,0.68,0.3,0.3,0.4,29.40%,35.30%,5.30%,5.30%,5.30%,0.00%,31.60%,26.1
Langston Galloway,NOP,55,0.4,4.10%,0.65,0.2,0.2,0.3,31.60%,34.20%,5.00%,5.00%,5.00%,5.00%,30.00%,22.4
Mario Hezonja,ORL,65,0.4,6.10%,0.52,0.2,0.3,0.3,22.70%,22.70%,8.00%,8.00%,8.00%,4.00%,24.00%,9.8
Alex Len,PHX,77,0.2,2.30%,0.8,0.2,0.1,0.1,20.00%,25.00%,26.70%,6.70%,26.70%,0.00%,40.00%,44.8
Ron Baker,NYK,52,0.3,5.50%,0.75,0.2,0.1,0.2,44.40%,44.40%,18.80%,25.00%,18.80%,0.00%,43.80%,36.6
Paul Zipser,CHI,44,0.4,6.10%,0.71,0.3,0.2,0.3,25.00%,25.00%,23.50%,11.80%,23.50%,5.90%,35.30%,29.3
Michael Kidd-Gilchrist,CHA,81,0.4,3.90%,0.4,0.1,0.3,0.4,20.70%,20.70%,3.30%,3.30%,3.30%,3.30%,20.00%,4.1
Lance Stephenson,NOP,6,1.7,14.30%,1.1,1.8,0.7,1.5,55.60%,55.60%,10.00%,10.00%,10.00%,10.00%,50.00%,94.2
Lance Stephenson,IND,6,2,21.40%,0.92,1.8,1.2,2,41.70%,45.80%,8.30%,0.00%,8.30%,8.30%,41.70%,66.7
Domantas Sabonis,OKC,81,0.2,2.20%,0.85,0.1,0,0.1,62.50%,62.50%,15.40%,30.80%,15.40%,7.70%,46.20%,52.9
Delon Wright,TOR,27,0.5,8.40%,0.79,0.4,0.2,0.4,45.50%,50.00%,7.10%,21.40%,7.10%,7.10%,35.70%,41.8
Troy Daniels,MEM,67,0.2,2.70%,0.73,0.2,0.1,0.2,33.30%,45.80%,0.00%,20.00%,0.00%,0.00%,26.70%,34.2
Justise Winslow,MIA,18,1.3,8.30%,0.48,0.6,0.9,1.2,23.80%,23.80%,8.70%,4.30%,8.70%,4.30%,26.10%,7.5
Jon Leuer,DET,75,0.3,3.20%,0.46,0.1,0.2,0.3,21.10%,21.10%,8.30%,12.50%,12.50%,4.20%,20.80%,6.1
Draymond Green,GSW,76,0.3,2.70%,0.44,0.1,0.2,0.3,15.80%,15.80%,20.00%,8.00%,16.00%,4.00%,24.00%,5.4
Richaun Holmes,PHI,57,0.2,2.00%,1,0.2,0.1,0.2,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,50.00%,82.6
Kosta Koufos,SAC,71,0.1,2.10%,1,0.1,0,0.1,71.40%,71.40%,0.00%,30.00%,0.00%,0.00%,50.00%,82.6
Lance Thomas,NYK,46,0.2,3.40%,1,0.2,0.1,0.2,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,50.00%,82.6
Nerlens Noel,PHI,29,0.3,4.30%,1,0.3,0.1,0.3,62.50%,62.50%,0.00%,20.00%,0.00%,0.00%,50.00%,82.6
Amir Johnson,BOS,80,0.2,2.60%,0.77,0.1,0.1,0.1,44.40%,44.40%,15.40%,23.10%,15.40%,7.70%,38.50%,39
Thabo Sefolosha,ATL,62,0.2,2.90%,0.71,0.2,0.1,0.2,40.00%,40.00%,7.10%,21.40%,7.10%,0.00%,35.70%,31
Trey Lyles,UTA,71,0.2,2.80%,0.67,0.1,0.1,0.1,30.00%,35.00%,20.00%,13.30%,13.30%,0.00%,40.00%,23.6
Ian Clark,GSW,77,0.2,3.50%,0.56,0.1,0.1,0.2,31.30%,31.30%,11.10%,11.10%,11.10%,11.10%,27.80%,13.2
Otto Porter Jr.,WAS,80,0.2,2.10%,0.53,0.1,0.2,0.2,27.80%,27.80%,0.00%,5.30%,0.00%,0.00%,26.30%,10.2
Timofey Mozgov,LAL,55,0.2,2.30%,0.9,0.2,0.1,0.2,40.00%,40.00%,10.00%,0.00%,10.00%,10.00%,40.00%,63.6
Channing Frye,CLE,74,0.1,1.70%,0.9,0.1,0.1,0.1,40.00%,45.00%,0.00%,0.00%,0.00%,0.00%,40.00%,63.6
Allen Crabbe,POR,79,0.2,1.60%,0.75,0.1,0.1,0.1,44.40%,50.00%,0.00%,25.00%,0.00%,0.00%,33.30%,36.6
Justin Anderson,PHI,24,0.5,5.90%,0.75,0.4,0.2,0.3,37.50%,43.80%,16.70%,16.70%,8.30%,0.00%,41.70%,36.6
Tony Snell,MIL,80,0.2,2.10%,0.69,0.1,0.1,0.1,40.00%,40.00%,7.70%,15.40%,7.70%,0.00%,38.50%,27.1
Ersan Ilyasova,PHI,53,0.3,1.90%,0.6,0.2,0.2,0.2,30.80%,34.60%,0.00%,6.70%,6.70%,0.00%,26.70%,17.3
Jae Crowder,BOS,72,0.3,2.00%,0.5,0.1,0.2,0.2,25.00%,28.10%,0.00%,11.10%,0.00%,0.00%,22.20%,7.9
Mindaugas Kuzminskas,NYK,68,0.3,4.70%,0.43,0.1,0.2,0.2,18.80%,21.90%,4.80%,19.00%,4.80%,0.00%,19.00%,4.8
Luol Deng,LAL,56,0.4,4.30%,0.43,0.2,0.3,0.3,22.20%,25.00%,4.80%,9.50%,4.80%,0.00%,19.00%,4.8
Taj Gibson,OKC,23,0.4,4.50%,0.8,0.3,0.2,0.4,44.40%,44.40%,0.00%,10.00%,0.00%,0.00%,40.00%,44.8
Brandon Bass,LAC,52,0.3,5.10%,0.62,0.2,0.2,0.2,33.30%,33.30%,0.00%,7.70%,0.00%,0.00%,30.80%,19.4
Zaza Pachulia,GSW,70,0.2,3.10%,0.57,0.1,0.1,0.1,28.60%,28.60%,14.30%,35.70%,14.30%,0.00%,28.60%,14.3
Jarell Martin,MEM,42,0.3,6.90%,0.57,0.2,0.2,0.3,18.20%,18.20%,14.30%,7.10%,14.30%,0.00%,28.60%,14.3
Gerald Green,BOS,47,0.3,5.50%,0.53,0.2,0.2,0.3,21.40%,28.60%,0.00%,6.70%,0.00%,0.00%,20.00%,11.2
Chandler Parsons,MEM,34,0.5,6.00%,0.5,0.2,0.3,0.3,18.20%,18.20%,18.80%,18.80%,18.80%,6.30%,25.00%,7.9
Robert Covington,PHI,67,0.3,1.90%,0.44,0.1,0.2,0.2,20.00%,23.30%,5.60%,11.10%,5.60%,0.00%,22.20%,5.8
Meyers Leonard,POR,74,0.1,2.30%,0.7,0.1,0.1,0.1,30.00%,35.00%,0.00%,0.00%,0.00%,0.00%,30.00%,28.8
DeAndre Liggins,CLE,61,0.2,5.70%,0.64,0.1,0.1,0.2,27.30%,31.80%,0.00%,0.00%,0.00%,0.00%,27.30%,20.8
Brandon Jennings,WAS,23,0.5,8.20%,0.64,0.3,0.3,0.3,25.00%,25.00%,18.20%,9.10%,18.20%,0.00%,36.40%,20.8
Dwight Howard,ATL,74,0.1,1.10%,0.64,0.1,0.1,0.1,42.90%,42.90%,18.20%,18.20%,18.20%,0.00%,36.40%,20.8
Tyus Jones,MIN,60,0.2,5.90%,0.5,0.1,0.1,0.2,27.30%,31.80%,0.00%,21.40%,0.00%,0.00%,21.40%,7.9
Patty Mills,SAS,80,0.2,2.00%,0.47,0.1,0.1,0.1,20.00%,25.00%,6.70%,26.70%,6.70%,0.00%,20.00%,7.1
Joakim Noah,NYK,47,0.2,3.40%,0.6,0.1,0.1,0.1,42.90%,42.90%,40.00%,10.00%,40.00%,20.00%,30.00%,17.3
Al Jefferson,IND,66,0.2,1.80%,0.6,0.1,0.1,0.1,22.20%,22.20%,10.00%,0.00%,10.00%,0.00%,30.00%,17.3
Cameron Payne,OKC,20,0.6,7.40%,0.55,0.3,0.3,0.4,25.00%,25.00%,9.10%,18.20%,9.10%,0.00%,27.30%,12.2
Wayne Ellington,MIA,62,0.2,1.80%,0.55,0.1,0.1,0.2,18.20%,27.30%,0.00%,0.00%,0.00%,0.00%,18.20%,12.2
Bobby Portis,CHI,64,0.2,3.00%,0.46,0.1,0.2,0.2,23.10%,23.10%,0.00%,0.00%,0.00%,0.00%,23.10%,6.4
Clint Capela,HOU,65,0.2,2.20%,0.38,0.1,0.2,0.2,23.10%,23.10%,0.00%,18.80%,0.00%,0.00%,18.80%,3.4
Brian Roberts,CHA,41,0.5,11.50%,0.32,0.1,0.3,0.3,14.30%,14.30%,5.30%,21.10%,0.00%,0.00%,15.80%,2.7
Kris Dunn,MIN,78,0.3,6.30%,0.22,0.1,0.3,0.3,9.10%,9.10%,7.40%,11.10%,7.40%,0.00%,14.80%,1.4
Dwight Powell,DAL,77,0.1,2.10%,0.5,0.1,0.1,0.1,12.50%,12.50%,20.00%,0.00%,10.00%,0.00%,30.00%,7.9
Marco Belinelli,CHA,74,0.2,1.60%,0.42,0.1,0.1,0.1,18.20%,22.70%,0.00%,8.30%,0.00%,0.00%,16.70%,4.4
Taurean Prince,ATL,59,0.2,3.40%,0.39,0.1,0.1,0.2,20.00%,25.00%,0.00%,23.10%,0.00%,0.00%,15.40%,3.7
Dorian Finney-Smith,DAL,81,0.1,2.90%,0.33,0,0.1,0.1,14.30%,14.30%,16.70%,25.00%,16.70%,0.00%,25.00%,3.1
Ben McLemore,SAC,61,0.2,2.50%,0.31,0.1,0.2,0.2,9.10%,9.10%,7.70%,7.70%,7.70%,0.00%,15.40%,2
Josh McRoberts,MIA,22,0.6,8.90%,0.31,0.2,0.4,0.5,18.20%,18.20%,0.00%,15.40%,0.00%,0.00%,15.40%,2
Kelly Oubre Jr.,WAS,79,0.2,2.60%,0.29,0.1,0.1,0.1,10.00%,10.00%,7.10%,21.40%,7.10%,0.00%,14.30%,1.7
Toney Douglas,MEM,24,0.5,7.30%,0.18,0.1,0.4,0.4,0.00%,0.00%,9.10%,0.00%,9.10%,0.00%,9.10%,0.7
Rodney McGruder,MIA,78,0.2,2.20%,0.17,0,0.1,0.1,9.10%,9.10%,0.00%,8.30%,0.00%,0.00%,8.30%,0.3
JJ Redick,LAC,78,0.1,0.90%,0,0,0.1,0.1,0.00%,0.00%,0.00%,30.00%,0.00%,0.00%,0.00%,0
