PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
David Nwaba,CHI,70,0.5,6.10%,0.61,0.3,0.3,0.4,28.60%,28.60%,13.90%,11.10%,13.90%,2.80%,33.30%,13.1
Luc Mbah a Moute,HOU,61,0.2,3.00%,1.5,0.3,0,0.1,85.70%,85.70%,42.90%,28.60%,42.90%,21.40%,64.30%,100
Mike Scott,WAS,76,0.2,2.50%,1.31,0.3,0.1,0.2,62.50%,62.50%,6.30%,0.00%,6.30%,6.30%,62.50%,97.2
Jameer Nelson,NOP,43,0.4,6.30%,1.24,0.5,0.2,0.4,50.00%,59.40%,5.90%,0.00%,0.00%,0.00%,52.90%,96.1
Gerald Green,HOU,41,0.6,5.20%,0.88,0.5,0.3,0.5,42.90%,47.60%,12.50%,4.20%,12.50%,4.20%,37.50%,55.5
Marquese Chriss,PHX,72,0.4,4.00%,0.81,0.3,0.1,0.3,47.40%,47.40%,11.50%,19.20%,11.50%,3.80%,42.30%,39.7
Lauri Markkanen,CHI,68,0.4,2.80%,0.75,0.3,0.2,0.4,41.70%,43.80%,0.00%,14.30%,0.00%,0.00%,35.70%,29.5
Stanley Johnson,DET,69,0.5,5.20%,0.57,0.3,0.3,0.4,23.30%,23.30%,13.50%,8.10%,13.50%,2.70%,29.70%,7.8
George Hill,CLE,24,0.6,6.10%,1.43,0.8,0.3,0.6,57.10%,71.40%,0.00%,0.00%,0.00%,0.00%,57.10%,98.2
Nene,HOU,52,0.4,5.80%,1.05,0.4,0.1,0.3,53.80%,53.80%,21.10%,10.50%,15.80%,0.00%,57.90%,86.5
Jarell Martin,MEM,73,0.3,3.80%,0.83,0.3,0.2,0.3,40.00%,40.00%,8.30%,8.30%,8.30%,0.00%,41.70%,46.2
Nikola Mirotic,CHI,25,1,7.10%,0.77,0.8,0.7,1,29.20%,33.30%,7.70%,0.00%,3.80%,0.00%,34.60%,32.1
Shane Larkin,BOS,54,0.5,9.70%,0.77,0.4,0.3,0.4,26.30%,26.30%,23.10%,3.80%,23.10%,0.00%,38.50%,32.1
Myles Turner,IND,65,0.3,2.30%,1,0.3,0.1,0.2,56.30%,56.30%,10.50%,10.50%,10.50%,5.30%,52.60%,80.8
Wayne Selden,MEM,35,0.7,6.60%,0.83,0.5,0.3,0.6,40.00%,45.00%,8.70%,13.00%,8.70%,8.70%,34.80%,45
Isaiah Thomas,LAL,17,1.4,7.40%,0.83,1.1,0.6,1,35.30%,38.20%,13.00%,13.00%,8.70%,0.00%,39.10%,45
Josh Richardson,MIA,81,0.3,2.40%,0.73,0.2,0.1,0.2,47.40%,50.00%,0.00%,26.90%,0.00%,0.00%,34.60%,26.7
Jordan Clarkson,CLE,28,1,8.50%,0.66,0.7,0.6,0.9,34.60%,36.50%,0.00%,10.30%,0.00%,0.00%,31.00%,17
Rodney Hood,CLE,21,0.7,6.80%,1.2,0.9,0.3,0.7,53.30%,60.00%,0.00%,0.00%,0.00%,0.00%,53.30%,95
Iman Shumpert,CLE,14,1.3,22.80%,1,1.3,0.5,1,50.00%,57.10%,11.10%,11.10%,5.60%,0.00%,50.00%,80.8
Elfrid Payton,PHX,19,1.1,7.10%,0.9,0.9,0.5,0.9,44.40%,44.40%,5.00%,5.00%,5.00%,0.00%,45.00%,61.2
Nick Young,GSW,80,0.3,4.00%,0.82,0.2,0.2,0.3,35.00%,42.50%,4.50%,9.10%,4.50%,4.50%,31.80%,42
Tomas Satoransky,WAS,73,0.3,4.50%,0.78,0.2,0.1,0.2,38.50%,38.50%,26.10%,21.70%,17.40%,4.30%,39.10%,34.8
Milos Teodosic,LAC,45,0.3,2.90%,1.21,0.4,0.2,0.3,41.70%,62.50%,7.10%,7.10%,7.10%,0.00%,42.90%,95.4
Pat Connaughton,POR,82,0.2,4.20%,0.9,0.2,0.1,0.2,37.50%,46.90%,10.50%,10.50%,10.50%,5.30%,36.80%,59.6
Antonio Blakeney,CHI,19,1.1,12.40%,0.81,0.9,0.6,0.8,25.00%,31.30%,19.00%,4.80%,19.00%,0.00%,38.10%,40.1
Frank Ntilikina,NYK,78,0.4,5.00%,0.52,0.2,0.3,0.3,18.50%,20.40%,9.10%,9.10%,9.10%,0.00%,24.20%,5
Taj Gibson,MIN,82,0.1,1.30%,1.33,0.2,0,0.1,70.00%,70.00%,8.30%,8.30%,8.30%,0.00%,66.70%,97.5
Tyrone Wallace,LAC,30,0.5,4.80%,1,0.5,0.1,0.4,66.70%,66.70%,0.00%,25.00%,0.00%,0.00%,50.00%,80.8
John Collins,ATL,74,0.3,2.60%,0.84,0.2,0.1,0.2,43.80%,43.80%,5.30%,10.50%,5.30%,0.00%,42.10%,48.4
Darius Miller,NOP,82,0.2,3.40%,0.84,0.2,0.1,0.2,47.10%,47.10%,0.00%,10.50%,0.00%,0.00%,42.10%,48.4
Jawun Evans,LAC,48,0.4,6.60%,0.76,0.3,0.3,0.3,25.00%,28.10%,23.80%,4.80%,23.80%,4.80%,38.10%,31.2
Kosta Koufos,SAC,71,0.3,4.70%,0.73,0.2,0.2,0.3,40.00%,40.00%,0.00%,9.10%,0.00%,0.00%,36.40%,25.1
Paul Zipser,CHI,54,0.4,8.00%,0.7,0.3,0.2,0.3,41.20%,41.20%,8.70%,17.40%,4.30%,0.00%,39.10%,20.6
Hassan Whiteside,MIA,54,0.5,3.40%,0.64,0.3,0.3,0.4,30.40%,30.40%,4.00%,4.00%,4.00%,0.00%,32.00%,14.9
Tyler Ennis,LAL,54,0.5,9.10%,0.64,0.3,0.2,0.4,40.00%,40.00%,0.00%,20.00%,0.00%,0.00%,32.00%,14.9
Shaquille Harrison,PHX,23,0.5,6.70%,1.36,0.7,0.1,0.3,75.00%,75.00%,18.20%,9.10%,18.20%,0.00%,72.70%,97.9
Shabazz Muhammad,MIL,11,1.1,16.00%,1.25,1.4,0.3,0.7,62.50%,62.50%,25.00%,8.30%,25.00%,0.00%,66.70%,96.8
Nikola Mirotic,NOP,30,0.4,3.00%,1.15,0.5,0.2,0.4,53.80%,57.70%,0.00%,0.00%,0.00%,0.00%,53.80%,92.6
Justin Holiday,CHI,72,0.2,1.60%,1,0.2,0.1,0.2,45.50%,50.00%,13.30%,13.30%,6.70%,0.00%,46.70%,80.8
Isaiah Whitehead,BKN,16,1.1,14.40%,0.88,0.9,0.3,0.6,50.00%,55.00%,23.50%,23.50%,23.50%,5.90%,41.20%,57.3
Marreese Speights,ORL,52,0.3,4.10%,0.88,0.3,0.2,0.2,27.30%,31.80%,29.40%,11.80%,17.60%,5.90%,41.20%,57.3
Manu Ginobili,SAS,65,0.3,3.50%,0.68,0.2,0.2,0.3,28.60%,33.30%,4.50%,4.50%,4.50%,4.50%,27.30%,18.8
Jusuf Nurkic,POR,79,0.4,2.20%,0.54,0.2,0.2,0.3,23.80%,23.80%,10.70%,17.90%,10.70%,3.60%,25.00%,5.7
Dragan Bender,PHX,82,0.2,2.40%,0.93,0.2,0.1,0.1,45.50%,45.50%,20.00%,13.30%,20.00%,6.70%,46.70%,68.4
Andre Iguodala,GSW,64,0.4,5.40%,0.61,0.2,0.2,0.3,25.00%,25.00%,13.00%,17.40%,8.70%,0.00%,30.40%,12.8
C.J. Williams,LAC,38,0.3,4.80%,1.18,0.3,0.1,0.2,55.60%,61.10%,9.10%,9.10%,9.10%,0.00%,54.50%,94
Sam Dekker,LAC,73,0.2,4.10%,1,0.2,0.1,0.1,44.40%,50.00%,15.40%,15.40%,15.40%,0.00%,46.20%,80.8
Jahlil Okafor,BKN,26,0.5,8.90%,0.93,0.5,0.2,0.4,54.50%,54.50%,7.10%,14.30%,0.00%,0.00%,50.00%,67
Avery Bradley,DET,40,0.5,2.90%,0.65,0.3,0.3,0.5,27.80%,27.80%,10.00%,5.00%,5.00%,5.00%,30.00%,16.4
Dwyane Wade,MIA,21,1,6.90%,0.59,0.6,0.7,0.9,22.20%,27.80%,9.10%,9.10%,9.10%,0.00%,27.30%,9.3
JaMychal Green,MEM,55,0.4,3.60%,0.59,0.2,0.3,0.4,25.00%,27.50%,4.50%,4.50%,4.50%,0.00%,27.30%,9.3
Justise Winslow,MIA,68,0.4,3.90%,0.54,0.2,0.2,0.3,31.60%,31.60%,8.30%,12.50%,8.30%,0.00%,29.20%,6
Devin Harris,DAL,44,0.3,3.20%,1,0.3,0.1,0.2,25.00%,25.00%,25.00%,8.30%,25.00%,0.00%,41.70%,80.8
Bam Adebayo,MIA,69,0.2,2.50%,1,0.2,0.1,0.1,50.00%,50.00%,8.30%,8.30%,8.30%,0.00%,50.00%,80.8
Dwayne Bacon,CHA,53,0.2,5.80%,0.92,0.2,0.1,0.2,45.50%,45.50%,7.70%,7.70%,0.00%,0.00%,46.20%,64.8
Joe Young,IND,53,0.3,8.10%,0.67,0.2,0.2,0.3,33.30%,36.70%,5.60%,16.70%,5.60%,5.60%,27.80%,17.9
Mason Plumlee,DEN,74,0.3,3.50%,0.63,0.2,0.1,0.2,38.50%,38.50%,21.10%,15.80%,21.10%,5.30%,31.60%,13.8
Patrick Beverley,LAC,11,0.9,6.60%,1.1,1,0.4,0.8,55.60%,61.10%,0.00%,10.00%,0.00%,0.00%,50.00%,90.4
Danny Green,SAS,70,0.2,2.00%,0.85,0.2,0.1,0.2,38.50%,38.50%,7.70%,0.00%,7.70%,7.70%,38.50%,49.8
Nemanja Bjelica,MIN,67,0.2,3.40%,0.73,0.2,0.1,0.2,35.70%,39.30%,0.00%,6.70%,0.00%,0.00%,33.30%,27.8
Cameron Payne,CHI,25,0.6,5.80%,0.73,0.4,0.4,0.5,30.80%,38.50%,6.70%,6.70%,6.70%,0.00%,33.30%,27.8
Isaiah Thomas,CLE,15,1.1,6.50%,0.65,0.7,0.4,0.6,33.30%,33.30%,23.50%,35.30%,23.50%,11.80%,29.40%,16
Pau Gasol,SAS,77,0.2,2.30%,0.58,0.1,0.1,0.2,26.70%,26.70%,10.50%,10.50%,10.50%,0.00%,31.60%,8.2
Kawhi Leonard,SAS,10,2,14.00%,0.55,1.1,1.4,1.9,26.30%,28.90%,0.00%,5.00%,0.00%,0.00%,25.00%,6.4
Alex Len,PHX,69,0.1,1.80%,1,0.1,0,0.1,57.10%,57.10%,10.00%,20.00%,0.00%,0.00%,50.00%,80.8
Robin Lopez,CHI,64,0.2,1.30%,1,0.2,0.1,0.2,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,50.00%,80.8
Dante Exum,UTA,14,0.8,9.00%,0.91,0.7,0.3,0.6,50.00%,50.00%,9.10%,18.20%,9.10%,0.00%,45.50%,63.2
Johnny O'Bryant III,CHA,36,0.3,6.20%,0.83,0.3,0.2,0.3,41.70%,41.70%,0.00%,0.00%,0.00%,0.00%,41.70%,46.2
Enes Kanter,NYK,71,0.2,1.50%,0.71,0.1,0.1,0.2,41.70%,41.70%,0.00%,14.30%,0.00%,0.00%,35.70%,23.1
Kobi Simmons,MEM,32,0.4,5.70%,0.71,0.3,0.2,0.3,40.00%,40.00%,7.10%,21.40%,7.10%,0.00%,35.70%,23.1
Al-Farouq Aminu,POR,69,0.2,2.40%,0.59,0.1,0.1,0.2,33.30%,33.30%,5.90%,23.50%,5.90%,0.00%,29.40%,8.9
Tyus Jones,MIN,82,0.2,4.30%,0.56,0.1,0.1,0.2,31.30%,31.30%,0.00%,11.10%,0.00%,0.00%,27.80%,6.7
Joe Johnson,HOU,23,0.8,11.80%,0.53,0.4,0.5,0.7,31.30%,31.30%,0.00%,15.80%,0.00%,0.00%,26.30%,5.3
Clint Capela,HOU,74,0.3,2.20%,0.5,0.1,0.1,0.2,33.30%,33.30%,15.00%,25.00%,10.00%,0.00%,25.00%,3.2
Jordan Bell,GSW,57,0.2,3.90%,0.9,0.2,0.1,0.1,25.00%,25.00%,40.00%,20.00%,40.00%,0.00%,50.00%,61.2
Wes Iwundu,ORL,62,0.2,4.80%,0.69,0.1,0.1,0.1,50.00%,50.00%,7.70%,30.80%,7.70%,0.00%,38.50%,19.6
Josh Hart,LAL,63,0.2,2.80%,0.69,0.1,0.1,0.2,25.00%,29.20%,7.70%,0.00%,7.70%,0.00%,30.80%,19.6
Tyler Johnson,MIA,72,0.2,1.80%,0.6,0.1,0.1,0.2,30.80%,34.60%,0.00%,13.30%,0.00%,0.00%,26.70%,10.1
Jerryd Bayless,PHI,40,0.4,4.60%,0.6,0.2,0.2,0.3,33.30%,37.50%,0.00%,20.00%,0.00%,0.00%,26.70%,10.1
Royce O'Neale,UTA,68,0.2,4.30%,0.56,0.1,0.1,0.2,25.00%,29.20%,6.30%,18.80%,6.30%,0.00%,25.00%,7.4
Markelle Fultz,PHI,14,0.8,8.00%,0.73,0.6,0.4,0.6,44.40%,44.40%,0.00%,18.20%,0.00%,0.00%,36.40%,25.1
Cristiano Felicio,CHI,55,0.2,3.60%,0.73,0.1,0.1,0.1,42.90%,42.90%,9.10%,27.30%,9.10%,0.00%,36.40%,25.1
Trevor Ariza,HOU,67,0.2,2.20%,0.5,0.1,0.1,0.2,23.10%,26.90%,6.30%,12.50%,6.30%,0.00%,25.00%,3.2
Emmanuel Mudiay,NYK,22,1.1,9.10%,0.33,0.4,0.7,0.9,20.00%,20.00%,4.20%,16.70%,4.20%,4.20%,16.70%,1.4
Ryan Anderson,HOU,66,0.2,1.80%,0.7,0.1,0.1,0.1,20.00%,20.00%,30.00%,20.00%,30.00%,0.00%,40.00%,20.9
Derrick Rose,CLE,16,0.7,6.10%,0.64,0.4,0.3,0.4,42.90%,42.90%,9.10%,27.30%,9.10%,0.00%,36.40%,14.2
Tony Snell,MIL,75,0.2,2.90%,0.5,0.1,0.1,0.1,30.00%,30.00%,7.10%,21.40%,7.10%,0.00%,28.60%,3.2
Vince Carter,SAC,58,0.2,3.00%,0.6,0.1,0.1,0.2,33.30%,33.30%,0.00%,10.00%,0.00%,0.00%,30.00%,10.1
Kevon Looney,GSW,66,0.2,3.90%,0.6,0.1,0.1,0.1,33.30%,33.30%,0.00%,10.00%,0.00%,0.00%,30.00%,10.1
Troy Daniels,PHX,79,0.1,1.50%,0.6,0.1,0.1,0.1,25.00%,37.50%,0.00%,20.00%,0.00%,0.00%,20.00%,10.1
Ian Clark,NOP,74,0.2,2.30%,0.46,0.1,0.1,0.2,25.00%,25.00%,0.00%,7.70%,0.00%,0.00%,23.10%,2.8
Jae Crowder,UTA,27,0.4,2.80%,0.5,0.2,0.3,0.3,22.20%,27.80%,0.00%,10.00%,0.00%,0.00%,20.00%,3.2
Greg Monroe,PHX,20,0.5,4.70%,0.5,0.3,0.4,0.5,22.20%,22.20%,10.00%,0.00%,10.00%,0.00%,30.00%,3.2
Raul Neto,UTA,41,0.3,6.40%,0.39,0.1,0.2,0.3,18.20%,18.20%,7.70%,15.40%,7.70%,7.70%,15.40%,1.8
Sean Kilpatrick,CHI,9,1.1,7.50%,0.4,0.4,0.9,1,11.10%,16.70%,10.00%,0.00%,10.00%,0.00%,20.00%,2.1
Alex Abrines,OKC,75,0.1,3.00%,0.3,0,0.1,0.1,0.00%,0.00%,20.00%,20.00%,20.00%,0.00%,20.00%,1.1
Lance Thomas,NYK,73,0.2,3.30%,0.18,0,0.1,0.1,10.00%,10.00%,0.00%,9.10%,0.00%,0.00%,9.10%,0.4
Dwight Powell,DAL,79,0.1,1.90%,0.18,0,0.1,0.1,10.00%,10.00%,0.00%,9.10%,0.00%,0.00%,9.10%,0.4
Maurice Harkless,POR,59,0.2,3.80%,0.14,0,0.2,0.2,8.30%,8.30%,0.00%,14.30%,0.00%,0.00%,7.10%,0
