,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average
107,Jacob Evans,GOLDEN STATE WARRIORS,2020-01-02,AWAY,MINNESOTA TIMBERWOLVES,0.0,2.6209000000000007,0.766,1.373,3.495,2.06,0.329,0.5346000000000001,0.329,0.0
108,Jarrett Allen,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0.0,2.4646999999999997,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
109,Sekou Doumbouya,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0.0,2.5214999999999996,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
110,Bismack Biyombo,CHARLOTTE HORNETS,2020-01-02,AWAY,CLEVELAND CAVALIERS,0.0,2.9545999999999992,0.766,1.373,3.495,2.06,0.329,0.6377999999999998,0.329,0.0
111,Sviatoslav Mykhailiuk,DETROIT PISTONS,2020-01-02,AWAY,LOS ANGELES CLIPPERS,0.0,2.5214999999999996,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
112,Brandon Clarke,MEMPHIS GRIZZLIES,2020-01-02,AWAY,SACRAMENTO KINGS,0.0,2.5214999999999996,0.766,1.373,3.495,2.06,0.329,0.5475,0.329,0.0
113,Jerami Grant,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0.0,2.1665,0.766,1.373,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
114,Joe Harris,BROOKLYN NETS,2020-01-02,AWAY,DALLAS MAVERICKS,0.0,2.4646999999999997,0.766,1.373,3.495,2.06,0.329,0.7022999999999998,0.329,0.0
115,Goran Dragić,MIAMI HEAT,2020-01-02,HOME,TORONTO RAPTORS,0.0,2.2090999999999994,0.766,1.0441,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
116,Dante Exum,CLEVELAND CAVALIERS,2020-01-02,HOME,CHARLOTTE HORNETS,0.0,2.5924999999999994,0.766,1.0441,3.495,2.06,0.329,0.4701000000000001,0.329,0.0
117,Rodney McGruder,LOS ANGELES CLIPPERS,2020-01-02,HOME,DETROIT PISTONS,0.0,2.3582,0.766,1.0441,3.495,2.06,0.329,0.6507000000000002,0.329,0.0
118,Monte Morris,DENVER NUGGETS,2020-01-02,AWAY,INDIANA PACERS,0.0,2.1665,0.766,1.373,3.495,2.06,0.329,0.6636000000000001,0.329,0.0
119,Derrick White,SAN ANTONIO SPURS,2020-01-02,HOME,OKLAHOMA CITY THUNDER,0.0,2.202,0.766,1.0441,3.495,2.06,0.329,0.5732999999999998,0.329,0.0
