,name,team,date,location,opponent,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers
4899,Boban Marjanovic,LOS ANGELES CLIPPERS,2019-02-02,AWAY,DETROIT PISTONS,3.02447,0.7981,2.3372610000000003,4.566198,2.28344,0.40874,0.6507000000000002,0.40874
4900,Kelly Olynyk,MIAMI HEAT,2019-02-02,HOME,INDIANA PACERS,2.4338560000000005,1.36306,1.171684,5.517444,2.48236,0.37942,0.6636000000000001,0.37942
4901,Alec Burks,CLEVELAND CAVALIERS,2019-02-02,HOME,DALLAS MAVERICKS,3.3585400000000005,1.56422,2.3636140000000005,6.08208,4.50928,0.4216,0.8717999999999998,0.4216
4902,Kevin Huerter,ATLANTA HAWKS,2019-02-02,AWAY,PHOENIX SUNS,2.2845779999999998,2.23618,1.170471,4.624401000000001,4.58608,0.49420000000000003,1.3086300000000002,0.49420000000000003
4903,Shaquille Harrison,CHICAGO BULLS,2019-02-02,AWAY,CHARLOTTE HORNETS,2.8758779999999993,1.08486,1.657621,4.27851,2.61592,0.59726,0.6565500000000001,0.59726
4904,Jrue Holiday,NEW ORLEANS PELICANS,2019-02-02,AWAY,SAN ANTONIO SPURS,5.414988,1.94728,4.2286280000000005,6.0596820000000005,5.7186,1.06014,0.8694599999999999,1.06014
4905,Pat Connaughton,MILWAUKEE BUCKS,2019-02-02,AWAY,WASHINGTON WIZARDS,2.7752560000000006,1.27104,1.21261,4.595115,2.8526800000000003,0.3342,0.6507000000000002,0.3342
4906,Deandre Ayton,PHOENIX SUNS,2019-02-02,HOME,ATLANTA HAWKS,6.435786000000001,0.766,2.7178620000000007,8.175729,2.28064,1.36848,1.2782100000000003,1.36848
4907,Rajon Rondo,LOS ANGELES LAKERS,2019-02-02,AWAY,GOLDEN STATE WARRIORS,4.735526000000001,1.27318,1.3940350000000001,6.191919,7.3522799999999995,0.27762,1.0284,0.27762
4908,Jarrett Allen,BROOKLYN NETS,2019-02-02,AWAY,ORLANDO MAGIC,3.7874219999999994,0.89654,2.3181190000000003,6.41853,3.22936,0.87322,0.9720000000000002,0.87322
4909,Gorgui Dieng,MINNESOTA TIMBERWOLVES,2019-02-02,HOME,DENVER NUGGETS,3.2467360000000003,0.99926,1.9159810000000004,5.794244999999999,3.06224,0.7332999999999998,0.7516500000000002,0.7332999999999998
4910,Ian Clark,NEW ORLEANS PELICANS,2019-02-02,AWAY,SAN ANTONIO SPURS,2.4888259999999995,1.48718,1.1577790000000001,3.7852740000000002,2.459,0.29062,0.483,0.29062
4911,Taurean Waller-Prince,ATLANTA HAWKS,2019-02-02,AWAY,PHOENIX SUNS,3.5231399999999997,1.4722,2.63631,4.905651,2.7302400000000002,0.59738,0.9899700000000002,0.59738
4912,Marvin Bagley,SACRAMENTO KINGS,2019-02-02,HOME,PHILADELPHIA 76ERS,5.819756,1.21754,2.978857,7.9971239999999995,2.54648,1.16916,0.9450600000000001,1.16916
4913,Draymond Green,GOLDEN STATE WARRIORS,2019-02-02,HOME,LOS ANGELES LAKERS,2.453544000000001,1.3737599999999999,2.3459499999999998,7.081557,6.420680000000001,0.89272,1.6740000000000002,0.89272
4914,Robin Lopez,CHICAGO BULLS,2019-02-02,AWAY,CHARLOTTE HORNETS,4.803182,0.81736,2.5222879999999996,5.151048,2.03548,1.20086,0.5718000000000001,1.20086
4915,Cedi Osman,CLEVELAND CAVALIERS,2019-02-02,HOME,DALLAS MAVERICKS,3.3339039999999995,2.34104,3.6749160000000005,5.8056779999999995,4.163480000000001,0.5073399999999999,1.2786,0.5073399999999999
4916,Josh Richardson,MIAMI HEAT,2019-02-02,HOME,INDIANA PACERS,2.5962200000000006,2.32178,2.472048,4.9292370000000005,3.61252,0.5768800000000001,1.11786,0.5768800000000001
4917,Kelly Oubre,PHOENIX SUNS,2019-02-02,HOME,ATLANTA HAWKS,3.9537960000000014,2.07568,3.11613,5.621373,3.2307600000000005,1.0899999999999999,1.1324400000000003,1.0899999999999999
4918,Trevor Ariza,WASHINGTON WIZARDS,2019-02-02,HOME,MILWAUKEE BUCKS,1.7777760000000002,2.28754,2.9005190000000005,4.940268,3.5631999999999997,0.33022,1.07643,0.33022
4919,Aaron Gordon,ORLANDO MAGIC,2019-02-02,HOME,BROOKLYN NETS,3.985012000000001,1.9644,2.4742870000000003,7.443486,4.09152,0.8779199999999999,0.741,0.8779199999999999
4920,Harrison Barnes,DALLAS MAVERICKS,2019-02-02,AWAY,CLEVELAND CAVALIERS,5.332237999999999,1.8895,4.197166,5.688117,3.45916,0.38646,0.7530599999999998,0.38646
4921,Taj Gibson,MINNESOTA TIMBERWOLVES,2019-02-02,HOME,DENVER NUGGETS,4.329064000000001,0.87086,2.138305,6.465171,2.54784,0.89604,1.05336,0.89604
4922,Shabazz Napier,BROOKLYN NETS,2019-02-02,AWAY,ORLANDO MAGIC,2.38016,2.3688599999999997,4.723491999999999,4.117293,4.296200000000001,0.59812,0.9584400000000002,0.59812
4923,Andrew Wiggins,MINNESOTA TIMBERWOLVES,2019-02-02,HOME,DENVER NUGGETS,6.7479260000000005,1.91518,3.6141270000000003,6.909549,3.8427600000000006,0.78938,1.1109900000000001,0.78938
4924,Jahlil Okafor,NEW ORLEANS PELICANS,2019-02-02,AWAY,SAN ANTONIO SPURS,7.335906,0.766,2.6638010000000003,8.889492,2.18224,1.5983800000000001,0.64911,1.5983800000000001
4925,Domantas Sabonis,INDIANA PACERS,2019-02-02,AWAY,MIAMI HEAT,4.911948,0.79168,2.96034,6.605676000000001,3.0226400000000004,0.74146,0.88611,0.74146
4926,Zaza Pachulia,DETROIT PISTONS,2019-02-02,HOME,LOS ANGELES CLIPPERS,3.7365899999999996,0.766,2.022041,5.505738,2.65984,0.60192,0.7938299999999998,0.60192
4927,Ivica Zubac,LOS ANGELES LAKERS,2019-02-02,AWAY,GOLDEN STATE WARRIORS,5.485904000000001,0.766,3.8789659999999997,6.603348,2.6208,0.91836,0.6893999999999999,0.91836
4928,Wesley Iwundu,ORLANDO MAGIC,2019-02-02,HOME,BROOKLYN NETS,2.8898099999999998,0.88798,1.203633,4.715822999999999,2.54976,0.59808,0.91389,0.59808
4929,Kyle Kuzma,LOS ANGELES LAKERS,2019-02-02,AWAY,GOLDEN STATE WARRIORS,3.8927460000000007,1.97082,2.2313470000000004,5.068923,3.5868400000000005,0.38224,1.1199299999999999,0.38224
4930,James Ennis,HOUSTON ROCKETS,2019-02-02,AWAY,UTAH JAZZ,1.9493019999999994,1.3309600000000001,2.2275970000000003,5.312763,2.26124,0.61226,1.00278,0.61226
4931,Patty Mills,SAN ANTONIO SPURS,2019-02-02,HOME,NEW ORLEANS PELICANS,2.1107240000000003,2.1463,1.7018779999999998,4.432758000000001,4.0284,0.37104,1.14366,0.37104
4932,Royce O'Neale,UTAH JAZZ,2019-02-02,HOME,HOUSTON ROCKETS,2.263082,1.16404,1.132511,4.369386,2.78304,0.43134,0.86964,0.43134
4933,Thomas Bryant,WASHINGTON WIZARDS,2019-02-02,HOME,MILWAUKEE BUCKS,3.548536000000001,1.0014,2.0855840000000003,5.8647480000000005,3.12076,0.41344000000000003,0.612,0.41344000000000003
4934,Derrick Favors,UTAH JAZZ,2019-02-02,HOME,HOUSTON ROCKETS,4.50375,1.02708,1.427456,7.512108,2.86168,1.1925999999999999,0.85947,1.1925999999999999
4935,T.J. McConnell,PHILADELPHIA 76ERS,2019-02-02,AWAY,SACRAMENTO KINGS,4.243112,0.94148,1.287218,4.244439,4.392200000000001,0.5830200000000001,0.86616,0.5830200000000001
4936,Ryan Broekhoff,DALLAS MAVERICKS,2019-02-02,AWAY,CLEVELAND CAVALIERS,2.9662319999999998,1.1298,1.262592,3.85425,2.712,0.33238,0.6377999999999998,0.33238
4937,Pau Gasol,SAN ANTONIO SPURS,2019-02-02,HOME,NEW ORLEANS PELICANS,3.5944259999999995,0.8387600000000001,1.6380789999999998,5.397843,2.6984,0.42484,0.84195,0.42484
4938,Jordan McRae,WASHINGTON WIZARDS,2019-02-02,HOME,MILWAUKEE BUCKS,3.080692,0.99498,1.310197,3.819762,2.1876800000000003,0.28606000000000004,0.87303,0.28606000000000004
4939,Derrick Rose,MINNESOTA TIMBERWOLVES,2019-02-02,HOME,DENVER NUGGETS,5.1324700000000005,1.3737599999999999,2.8230579999999996,4.775181,4.2146,0.40878000000000003,0.6804600000000001,0.40878000000000003
4940,Luol Deng,MINNESOTA TIMBERWOLVES,2019-02-02,HOME,DENVER NUGGETS,2.5815020000000004,1.29244,1.997922,4.9915020000000005,2.26216,0.32176,0.8262300000000001,0.32176
4941,Nene Hilario,HOUSTON ROCKETS,2019-02-02,AWAY,UTAH JAZZ,2.553472,0.766,2.606704,4.2826200000000005,2.3804,0.52062,0.8943000000000001,0.52062
4942,Patrick Beverley,LOS ANGELES CLIPPERS,2019-02-02,AWAY,DETROIT PISTONS,2.2748500000000007,1.7760799999999999,2.6516040000000003,7.1599889999999995,4.73388,0.87454,1.1998800000000003,0.87454
4943,Dewayne Dedmon,ATLANTA HAWKS,2019-02-02,AWAY,PHOENIX SUNS,2.9899359999999993,1.7076000000000002,1.70202,7.009176,2.9527200000000002,1.0042,1.4747400000000002,1.0042
4944,Juan Hernangomez,DENVER NUGGETS,2019-02-02,AWAY,MINNESOTA TIMBERWOLVES,2.743126,0.93292,1.309963,4.432389000000001,2.33132,0.31882,0.7176600000000001,0.31882
4945,Michael Kidd-Gilchrist,CHARLOTTE HORNETS,2019-02-02,HOME,CHICAGO BULLS,4.053324000000001,0.9864200000000001,2.6873890000000005,5.539181999999999,2.79092,0.67786,1.05147,0.67786
4946,Moritz Wagner,LOS ANGELES LAKERS,2019-02-02,AWAY,GOLDEN STATE WARRIORS,2.3164680000000004,0.98214,1.750002,4.122366,2.1997600000000004,0.54352,0.7402499999999999,0.54352
4947,Khem Birch,ORLANDO MAGIC,2019-02-02,HOME,BROOKLYN NETS,3.4362120000000003,0.766,1.8289399999999998,5.647752,2.80288,1.0699,0.7918499999999999,1.0699
