name,pos,team,rank
"Young, Thaddeus",SF/PF,Chicago,20.0
"Holiday, Justin",SG/SF,Indiana,6.5
"Bridges, Miles^",SF/PF,Charlotte,24.5
"Robinson, Duncan^",SG/SF,Miami,10.0
"Jackson, Justin^",SF/PF,Dallas,12.5
"Burks, Alec^",SG/SF,Golden State,27.0
"McGruder, Rodney",SG/SF,LA Clippers,8.5
"Ferguson, Terrance^",SG/SF,Oklahoma City,5.5
"Diallo, Hamidou",SG/SF,Oklahoma City,5.5
"Anderson, Kyle",SF/PF,Memphis,22.0
"Hill, Solomon",SF/PF,Memphis,22.0
"McDermott, Doug",SF/PF,Indiana,4.0
"McCaw, Patrick^",SG/SF,Toronto,16.0
"Valentine, Denzel",SG/SF,Chicago,10.5
"King, Louis",SF/PF,Detroit,17.0
"James, Justin",SG/SF,Sacramento,20.0
"Johnson, Stanley",SF/PF,Toronto,16.5
"Lee, Courtney",SG/SF,Dallas,11.0
"Nader, Abdel",SF,Oklahoma City,2.0
"Hernangomez, Juan",SF/PF,Denver,12.5
"Vanderbilt, Jarred",SF/PF,Denver,12.5
"Batum, Nicolas",SG/SF,Charlotte,24.0
"Burton, Deonte",SG/SF,Oklahoma City,5.5
"Gabriel, Wenyen",SF/PF,Sacramento,13.5
"Craig, Torrey",SG/SF,Denver,10.5
"Johnson, James",SF/PF,Miami,11.5
"Sampson, JaKarr",SF/PF,Indiana,4.0
"Morgan, Juwan",PF,Utah,13.0
"McKinnie, Alfonzo",SF/PF,Cleveland,28.5
"Waiters, Dion",SG/SF,Miami,10.0
"Tucker, Rayjon",SG/SF,Utah,12.0
"Belinelli, Marco",SG/SF,San Antonio,24.0
"Brissett, Oshae",SF/PF,Toronto,16.5
"Guduric, Marko",SG/SF,Memphis,22.0
"Kidd-Gilchrist, Michael",SF/PF,Charlotte,24.5
"Carroll, DeMarre",SF,San Antonio,23.0
"Haslem, Udonis",PF,Miami,17.0
"Johnson, Alize",PF,Indiana,7.0
"Miller, Malcolm",SG/SF,Toronto,16.0
"Martin, Cody",SG/SF,Charlotte,24.0
"Broekhoff, Ryan",SG/SF,Dallas,11.0
"Hardaway Jr., Tim",SG/SF,Dallas,11.0
"Temple, Garrett",SG/SF,Brooklyn,14.0
"Bowen II, Brian",SG/SF,Indiana,6.5
"Durant, Kevin",SF/PF,Brooklyn,11.5
"Roberson, Andre",SG/SF,Oklahoma City,5.5
"Porter, Otto",SF/PF,Chicago,20.0
"Oni, Miye",SG/SF,Utah,12.0
"Windler, Dylan",SG/SF,Cleveland,29.5
"Samanic, Luka",SF/PF,San Antonio,23.5
