,name,team,date,location,opponent,made_field_goals,made_two_point_field_goals,attempted_two_point_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,attempted_free_throws,made_free_throws,offensive_rebounds,defensive_rebounds,assists,blocks,turnovers,steals,seconds_played,Opponent Defensive Rating,Opponent Turnover %
3632,Tyus Jones,MEMPHIS GRIZZLIES,2020-01-24,AWAY,DETROIT PISTONS,2.41,1.66,4.05,5.27,0.76,1.22,0.26,0.22,0.0,1.63,3.61,0.2,0.52,0.44,924.54,110.64,14.55
3633,Thanasis Antetokounmpo,MILWAUKEE BUCKS,2020-01-24,AWAY,CHARLOTTE HORNETS,1.37,1.37,2.14,2.59,0.0,0.46,0.2,0.0,0.38,1.01,0.0,0.0,0.45,0.71,285.48,110.79,13.62
3634,Dewayne Dedmon,SACRAMENTO KINGS,2020-01-24,AWAY,CHICAGO BULLS,2.72,2.36,4.91,7.04,0.36,2.13,1.81,1.33,2.33,4.8,0.63,0.17,1.08,0.0,1090.37,109.24,14.68
3635,Kevin Hervey,OKLAHOMA CITY THUNDER,2020-01-24,HOME,ATLANTA HAWKS,0.3,0.3,0.59,2.02,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.94,108.27,13.85
3636,Justin James,SACRAMENTO KINGS,2020-01-24,AWAY,CHICAGO BULLS,0.3,0.08,0.66,1.0,0.22,0.34,0.46,0.23,0.0,0.27,0.32,0.12,0.15,0.23,200.44,109.61,14.71
3637,P.J. Washington,CHARLOTTE HORNETS,2020-01-24,HOME,MILWAUKEE BUCKS,5.07,3.04,5.68,9.85,2.04,4.17,2.08,1.62,0.38,6.12,2.66,0.56,2.61,0.82,1938.86,109.73,13.69
3638,Juan Hernangómez,DENVER NUGGETS,2020-01-24,AWAY,NEW ORLEANS PELICANS,0.6,0.47,1.06,1.78,0.12,0.72,0.64,0.48,0.47,2.09,0.52,0.0,0.41,0.23,645.56,111.2,14.28
3639,Kevin Knox,NEW YORK KNICKS,2020-01-24,HOME,TORONTO RAPTORS,1.91,1.01,2.74,5.23,0.91,2.49,2.37,1.53,0.36,2.78,0.6,0.17,0.4,0.23,930.89,108.59,15.02
3640,Wesley Matthews,MILWAUKEE BUCKS,2020-01-24,AWAY,CHARLOTTE HORNETS,2.36,0.65,1.91,6.12,1.71,4.21,1.16,0.58,0.5,2.2,1.84,0.05,0.72,0.58,1561.07,109.98,14.27
3641,Anthony Tolliver,SACRAMENTO KINGS,2020-01-24,AWAY,CHICAGO BULLS,1.79,0.93,1.44,4.32,0.86,2.89,0.35,0.11,1.12,2.7,0.92,0.15,0.08,0.0,915.72,110.02,14.33
3642,Denzel Valentine,CHICAGO BULLS,2020-01-24,HOME,SACRAMENTO KINGS,0.89,0.62,0.62,1.06,0.27,0.44,0.0,0.0,0.0,0.44,0.22,0.0,0.0,0.0,176.34,106.26,14.4
3643,Vlatko Čančar,DENVER NUGGETS,2020-01-24,AWAY,NEW ORLEANS PELICANS,0.92,0.82,1.45,2.38,0.1,0.93,0.38,0.38,0.87,0.76,0.15,0.19,0.48,0.1,351.5,109.95,14.36
3644,Frank Jackson,NEW ORLEANS PELICANS,2020-01-24,HOME,DENVER NUGGETS,2.42,1.45,2.7,5.05,0.97,2.35,1.19,0.81,1.1,0.62,0.55,0.08,0.95,0.58,973.95,109.82,14.14
3645,Jaxson Hayes,NEW ORLEANS PELICANS,2020-01-24,HOME,DENVER NUGGETS,3.49,3.49,4.34,4.34,0.0,0.0,5.11,3.26,1.21,3.82,1.27,1.15,0.67,0.06,1091.52,109.98,14.13
3646,Kent Bazemore,SACRAMENTO KINGS,2020-01-24,AWAY,CHICAGO BULLS,2.4,1.24,2.75,7.26,1.16,4.51,2.98,2.1,0.61,3.56,1.63,0.44,1.12,1.42,1639.43,110.02,14.33
3647,Marco Belinelli,SAN ANTONIO SPURS,2020-01-24,HOME,PHOENIX SUNS,2.65,1.48,2.98,5.56,1.18,2.58,0.89,0.89,0.09,2.36,1.34,0.0,0.0,0.08,934.47,110.03,14.91
3648,Yogi Ferrell,SACRAMENTO KINGS,2020-01-24,AWAY,CHICAGO BULLS,1.78,1.09,2.19,3.58,0.69,1.39,0.0,0.0,0.2,0.67,0.56,0.0,0.0,0.2,463.94,109.71,14.71
3649,Miles Bridges,CHARLOTTE HORNETS,2020-01-24,HOME,MILWAUKEE BUCKS,3.94,3.03,6.88,10.85,0.9,3.97,1.74,1.55,1.41,3.63,1.66,0.85,1.95,0.52,1722.19,109.73,13.69
3650,Shaquille Harrison,CHICAGO BULLS,2020-01-24,HOME,SACRAMENTO KINGS,0.91,0.84,1.2,1.89,0.07,0.69,1.08,0.95,0.08,0.13,0.1,0.0,0.0,0.27,278.12,109.25,14.5
3651,Jerome Robinson,LOS ANGELES CLIPPERS,2020-01-24,AWAY,MIAMI HEAT,0.9,0.26,1.37,3.3,0.64,1.92,0.06,0.06,0.13,2.16,2.24,0.22,0.4,0.54,905.54,111.78,14.5
3652,Luke Kornet,CHICAGO BULLS,2020-01-24,HOME,SACRAMENTO KINGS,3.37,1.77,2.4,7.61,1.6,5.21,1.7,1.37,0.65,2.14,2.01,1.05,0.67,0.57,1227.42,109.52,14.58
3653,Nickeil Alexander-Walker,NEW ORLEANS PELICANS,2020-01-24,HOME,DENVER NUGGETS,2.15,1.22,3.02,5.82,0.93,2.8,1.1,0.63,0.24,1.64,2.57,0.45,0.68,0.12,813.37,109.96,14.12
3654,Grayson Allen,MEMPHIS GRIZZLIES,2020-01-24,AWAY,DETROIT PISTONS,2.63,2.17,2.89,5.23,0.46,2.34,1.27,1.01,0.17,1.81,1.87,0.0,0.2,0.07,940.95,110.64,14.55
3655,Treveon Graham,ATLANTA HAWKS,2020-01-24,AWAY,OKLAHOMA CITY THUNDER,1.12,0.64,1.37,2.62,0.48,1.26,0.76,0.49,0.68,0.98,0.45,0.0,0.64,0.11,675.16,109.26,14.13
3656,Adam Mokoka,CHICAGO BULLS,2020-01-24,HOME,SACRAMENTO KINGS,1.19,0.55,0.92,2.1,0.64,1.18,0.26,0.0,0.57,0.71,0.57,0.0,0.2,0.24,776.13,110.41,14.22
3657,Dejounte Murray,SAN ANTONIO SPURS,2020-01-24,HOME,PHOENIX SUNS,4.11,3.24,6.76,8.37,0.87,1.61,1.13,0.79,1.15,4.2,3.2,0.06,1.44,1.65,1503.43,109.99,14.87
3658,Bismack Biyombo,CHARLOTTE HORNETS,2020-01-24,HOME,MILWAUKEE BUCKS,1.75,1.75,4.64,4.64,0.0,0.0,1.86,1.51,2.2,3.98,0.54,1.49,1.82,0.28,1143.09,109.09,13.92
3659,Tim Frazier,DETROIT PISTONS,2020-01-24,HOME,MEMPHIS GRIZZLIES,0.49,0.49,1.49,2.38,0.0,0.9,0.26,0.13,0.29,1.09,2.78,0.29,1.84,0.35,716.84,110.76,14.46
3660,Rodney McGruder,LOS ANGELES CLIPPERS,2020-01-24,AWAY,MIAMI HEAT,1.52,1.36,2.67,4.15,0.16,1.48,1.42,0.71,1.12,2.66,1.01,0.17,0.6,0.71,1223.88,111.78,14.5
3661,Bruno Fernando,ATLANTA HAWKS,2020-01-24,AWAY,OKLAHOMA CITY THUNDER,2.61,2.61,4.76,5.22,0.0,0.45,1.13,0.8,2.58,2.12,0.74,0.61,1.0,1.03,901.02,108.29,14.04
3662,James Johnson,MIAMI HEAT,2020-01-24,HOME,LOS ANGELES CLIPPERS,3.76,2.03,3.3,6.94,1.72,3.64,0.79,0.42,0.32,3.15,1.28,1.32,0.77,0.0,1332.77,112.13,13.45
3663,Zach LaVine,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,9.94,7.16,13.37,21.22,2.78,7.85,5.68,4.62,0.54,5.12,2.52,0.73,3.07,1.28,2100.83,109.81,14.54
3664,Kyrie Irving,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,9.92,6.83,11.9,18.3,3.09,6.4,4.64,4.25,1.35,3.44,5.14,0.43,3.61,1.46,1926.84,110.47,14.74
3665,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,10.8,8.35,13.9,20.41,2.45,6.51,5.43,4.85,2.56,5.48,3.36,0.94,2.64,0.19,1792.69,108.44,14.25
3666,Ben Simmons,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,8.6,8.6,13.02,13.02,0.0,0.0,7.29,4.65,2.53,7.38,8.54,0.57,3.38,2.32,2368.17,108.2,14.37
3667,Rudy Gobert,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,7.89,7.89,10.88,10.88,0.0,0.0,7.01,4.46,4.12,10.92,2.21,2.3,1.06,0.81,1978.74,111.07,14.36
3668,Chris Paul,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,7.09,5.19,8.29,13.41,1.9,5.12,4.71,4.13,0.58,4.43,5.62,0.14,2.46,1.66,1828.31,110.53,14.19
3669,Tomáš Satoranský,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,2.66,2.15,4.98,7.99,0.51,3.01,2.11,1.74,0.73,2.61,4.45,0.04,1.97,0.76,1552.03,109.81,14.54
3670,Derrick Rose,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,9.54,9.03,16.09,18.73,0.51,2.64,4.04,3.28,0.67,3.01,7.28,0.2,2.48,0.69,1888.79,111.32,14.73
3671,Jarrett Allen,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,3.82,3.82,6.43,6.7,0.0,0.27,3.2,2.0,2.11,7.09,1.27,1.35,0.87,0.42,1729.11,106.97,14.46
3672,Anthony Davis,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,5.74,4.87,9.42,11.74,0.87,2.32,8.05,7.49,0.95,7.22,2.91,2.22,1.87,1.57,1787.51,110.21,14.64
3673,Cedi Osman,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,4.43,2.19,4.61,10.24,2.24,5.63,1.37,1.23,0.48,2.42,2.54,0.25,0.91,0.77,1803.64,110.92,14.46
3674,Tobias Harris,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,6.92,4.05,8.94,16.38,2.87,7.43,2.57,2.11,0.28,6.56,2.69,0.66,0.93,0.89,2165.59,108.2,14.37
3675,Seth Curry,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,4.92,2.32,3.96,9.82,2.6,5.85,1.25,0.88,0.63,0.82,1.59,0.11,0.51,0.56,1430.66,110.63,13.87
3676,LeBron James,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,9.64,7.64,12.8,18.29,2.01,5.5,4.1,3.07,1.11,6.37,10.22,0.27,4.32,1.73,2026.35,109.97,14.35
3677,Shabazz Napier,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,2.83,1.53,2.7,6.08,1.3,3.39,2.18,2.02,0.63,3.29,5.99,0.0,2.48,1.19,1622.76,108.69,14.09
3678,Dennis Schröder,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,8.21,5.4,9.95,15.51,2.81,5.56,2.65,1.98,0.26,3.54,6.05,0.0,1.72,0.19,1959.22,110.53,14.19
3679,Darius Bazley,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,2.57,2.51,4.51,5.04,0.06,0.53,1.7,0.86,0.65,3.42,0.89,1.12,0.52,0.18,1131.32,110.53,14.19
3680,Andre Drummond,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,6.4,6.31,11.78,11.98,0.09,0.2,5.51,2.75,4.63,10.13,3.11,1.48,4.47,3.04,1928.8,111.88,14.79
3681,Sviatoslav Mykhailiuk,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,4.71,1.93,2.9,9.39,2.78,6.49,2.24,2.15,0.31,1.63,1.46,0.29,1.0,0.85,1779.4,111.32,14.73
3682,Luka Dončić,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,10.07,7.24,13.17,22.58,2.83,9.41,9.33,5.98,1.34,7.77,9.21,0.4,4.05,0.74,2039.03,110.63,13.87
3683,Kris Dunn,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,3.45,2.44,4.15,6.65,1.0,2.5,2.47,1.89,0.51,4.14,3.94,0.41,2.04,2.02,1739.83,109.81,14.54
3684,Bruce Brown,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,3.01,2.6,5.34,6.67,0.41,1.33,2.19,1.66,0.93,1.8,3.83,0.69,1.3,1.32,1569.53,111.88,14.79
3685,Larry Nance,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,5.2,4.17,5.65,7.67,1.04,2.01,1.14,0.22,2.65,4.98,2.3,0.0,0.66,1.13,1508.33,111.54,14.4
3686,Al Horford,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,5.22,4.07,7.02,12.22,1.15,5.2,0.85,0.7,1.63,5.71,4.89,0.86,0.95,0.8,1949.88,108.2,14.37
3687,Donovan Mitchell,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,8.73,5.54,10.01,17.91,3.19,7.9,3.82,3.56,0.72,2.47,3.46,0.22,2.04,1.16,1833.99,110.74,14.46
3688,Bojan Bogdanović,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,7.48,4.27,7.15,14.73,3.21,7.59,3.82,3.57,0.35,2.76,1.81,0.05,2.13,0.46,1906.71,111.07,14.36
3689,Delon Wright,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,2.5,2.28,3.97,5.33,0.21,1.36,0.96,0.45,1.62,2.97,3.06,0.49,0.98,0.45,1194.77,110.63,13.87
3690,Kevin Love,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,6.92,4.3,8.51,16.19,2.62,7.68,4.26,3.46,0.41,7.49,2.66,0.17,1.85,0.95,2011.83,111.15,14.47
3691,Joe Harris,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,3.39,1.85,3.98,8.66,1.54,4.68,2.41,1.49,0.74,3.1,1.61,0.27,2.49,0.79,1786.04,108.08,14.46
3692,Mike Muscala,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,3.18,0.83,1.35,5.89,2.35,4.54,0.68,0.43,0.14,2.48,1.34,0.47,0.64,0.1,1171.8,110.53,14.19
3693,Hamidou Diallo,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,2.39,2.19,4.31,5.42,0.2,1.11,1.05,0.85,0.48,3.29,0.88,0.0,1.18,0.71,1233.15,110.53,14.19
3694,Luguentz Dort,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,2.22,1.49,3.24,4.96,0.73,1.73,1.28,1.11,0.43,0.0,2.0,0.0,1.22,1.23,1371.3,111.74,13.97
3695,Joe Ingles,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,4.12,1.84,3.51,8.36,2.28,4.86,1.46,0.96,0.16,3.76,7.36,0.0,2.21,0.81,1741.61,111.07,14.36
3696,Collin Sexton,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,8.8,6.53,13.87,18.25,2.26,4.38,3.88,3.79,1.24,2.95,3.21,0.27,2.74,1.0,2102.9,110.92,14.46
3697,Royce O'Neale,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,1.84,1.18,1.95,4.32,0.66,2.37,0.49,0.49,0.88,5.81,3.83,0.52,0.51,0.34,1785.58,111.07,14.36
3698,Spencer Dinwiddie,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,5.16,3.11,7.58,13.87,2.05,6.29,4.77,3.26,1.08,3.46,7.99,0.09,2.67,0.52,1920.94,106.97,14.46
3699,Andrew Wiggins,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,7.82,5.7,10.09,16.49,2.12,6.4,3.9,2.39,0.73,4.13,5.01,0.31,2.7,0.65,1986.82,108.69,14.09
3700,Thaddeus Young,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,3.99,2.93,4.39,7.61,1.06,3.22,0.82,0.65,1.21,4.16,1.27,0.58,1.12,1.2,1479.0,109.81,14.54
3701,Keita Bates-Diop,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,2.09,1.61,3.84,5.55,0.49,1.71,2.12,1.32,1.21,2.46,1.94,1.04,0.42,0.59,979.2,108.69,14.09
3702,Shake Milton,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,2.11,0.44,2.67,6.0,1.67,3.33,0.0,0.0,0.56,1.67,1.56,0.0,0.56,0.0,819.0,107.17,13.53
3703,Tristan Thompson,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,4.25,4.25,8.03,8.08,0.0,0.05,2.26,1.87,4.56,5.85,1.42,1.0,2.17,0.41,1819.34,110.82,14.43
3704,Matisse Thybulle,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,2.3,1.13,2.22,7.34,1.17,5.12,1.11,0.64,1.23,2.1,1.41,1.25,1.42,2.07,1731.03,108.14,14.41
3705,Alex Caruso,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,1.41,0.64,2.94,4.53,0.77,1.59,1.64,1.43,0.07,1.6,1.56,0.59,0.6,0.49,937.96,109.79,14.28
3706,Wilson Chandler,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,2.9,0.99,1.55,5.44,1.91,3.88,0.93,0.87,0.14,3.84,1.25,0.27,1.14,0.86,1166.61,106.89,14.25
3707,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,4.14,1.98,3.95,8.48,2.15,4.53,2.04,1.77,0.79,1.85,1.82,0.31,0.97,0.47,1605.81,109.79,14.28
3708,Robert Covington,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,4.69,2.42,4.47,12.13,2.28,7.66,0.76,0.51,0.99,5.94,1.12,0.93,1.17,1.17,1858.58,108.69,14.09
3709,Christian Wood,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,4.38,3.37,4.89,6.78,1.0,1.89,5.12,4.11,0.83,4.77,1.0,1.16,1.43,0.5,1245.26,111.32,14.73
3710,Tim Hardaway,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,5.53,2.41,5.15,12.12,3.13,6.97,2.49,1.85,0.54,3.09,1.85,0.08,0.68,0.64,1763.82,110.56,13.84
3711,Tony Bradley,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,2.04,2.04,3.31,3.31,0.0,0.0,1.18,0.61,2.53,3.79,0.17,0.37,0.64,0.64,783.0,111.07,14.36
3712,Raul Neto,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,1.23,0.72,2.6,3.98,0.51,1.38,0.35,0.35,0.05,0.95,2.02,0.31,0.32,0.38,609.18,108.33,14.43
3713,Coby White,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,3.5,2.23,5.19,9.64,1.26,4.45,2.56,1.87,0.32,2.57,2.33,0.0,1.53,0.46,1490.31,109.81,14.54
3714,Langston Galloway,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,3.68,2.03,3.92,8.57,1.64,4.64,1.3,0.81,0.48,2.21,1.67,0.0,0.67,1.57,1607.03,111.32,14.73
3715,Dante Exum,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,1.59,1.14,1.87,3.7,0.45,1.83,1.31,0.75,0.23,2.05,1.04,0.33,0.59,0.29,1099.84,110.89,14.38
3716,Kristaps Porziņģis,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,5.11,3.0,7.89,13.67,2.11,5.78,4.33,3.22,2.33,4.44,1.0,1.56,1.44,1.0,1564.0,110.49,13.51
3717,Ryan Arcidiacono,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,1.01,0.55,1.26,3.02,0.46,1.75,0.18,0.18,0.0,1.46,1.55,0.0,0.41,0.36,771.28,109.9,14.6
3718,Dorian Finney-Smith,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,3.28,1.22,2.05,7.39,2.06,5.34,2.31,1.55,2.47,3.98,1.31,0.82,0.78,0.98,1984.31,110.63,13.87
3719,Caris LeVert,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,4.73,3.44,9.69,13.31,1.29,3.62,3.24,2.37,0.71,2.94,3.24,0.09,1.83,0.72,1456.35,106.89,14.53
3720,Avery Bradley,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,2.29,1.89,4.12,6.68,0.4,2.56,0.0,0.0,0.11,1.11,0.75,0.03,0.82,0.87,1208.51,109.79,14.28
3721,John Henson,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,2.5,2.05,3.97,5.54,0.46,1.58,2.08,1.16,1.15,3.08,2.03,0.59,0.76,0.24,871.27,110.33,14.3
3722,Chandler Hutchison,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,3.04,2.75,4.38,5.19,0.28,0.81,1.97,1.3,0.52,3.44,1.29,0.16,0.9,1.64,1099.72,109.81,14.54
3723,Luke Kornet,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,3.06,1.82,2.76,7.92,1.24,5.16,1.32,1.07,0.73,1.89,1.78,0.81,0.75,0.44,1185.2,109.81,14.54
3724,Taurean Waller-Prince,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,5.07,2.72,4.84,11.57,2.35,6.73,1.89,1.37,0.97,4.72,2.02,0.32,2.43,1.38,1746.45,106.97,14.46
3725,Maxi Kleber,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,3.96,2.23,2.72,7.52,1.72,4.81,1.78,1.65,1.13,3.71,0.92,2.09,0.72,0.27,1677.37,110.63,13.87
3726,Georges Niang,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,3.31,1.15,2.04,6.74,2.16,4.7,0.51,0.51,0.33,1.59,1.43,0.23,0.63,0.45,1099.58,111.07,14.36
3727,Naz Reid,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,2.62,1.66,3.05,6.5,0.97,3.45,1.19,0.91,0.72,1.29,0.93,0.43,0.45,0.19,682.56,108.87,13.96
3728,Darius Garland,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,5.02,2.95,8.8,15.61,2.07,6.81,1.91,1.73,0.33,1.48,5.02,0.0,3.36,0.73,2102.32,110.92,14.46
3729,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,6.86,6.33,10.98,13.3,0.53,2.32,6.88,5.65,0.75,7.34,4.18,1.53,2.18,1.65,2213.66,110.53,14.19
3730,Jordan McLaughlin,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,1.64,0.82,2.44,4.73,0.82,2.29,1.32,0.7,0.11,1.55,3.59,0.0,1.04,0.65,1099.63,108.85,14.28
3731,Deonte Burton,OKLAHOMA CITY THUNDER,2020-01-25,AWAY,MINNESOTA TIMBERWOLVES,1.25,1.25,2.1,2.94,0.0,0.85,0.92,0.43,0.05,1.29,0.15,0.5,0.42,0.28,426.69,110.71,14.54
3732,Jordan Clarkson,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,5.24,3.63,6.41,12.04,1.6,5.63,1.75,1.39,0.96,3.08,1.72,0.14,0.8,0.63,1538.96,111.07,14.36
3733,Boban Marjanović,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,4.66,4.35,7.09,7.57,0.31,0.49,1.88,1.35,2.19,4.28,0.0,0.54,1.06,0.49,781.68,108.85,14.61
3734,Jarrett Culver,MINNESOTA TIMBERWOLVES,2020-01-25,HOME,OKLAHOMA CITY THUNDER,4.17,2.62,6.01,10.22,1.55,4.2,1.97,1.11,1.02,2.35,1.2,0.98,1.41,0.64,1610.31,108.69,14.09
3735,Markieff Morris,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,4.31,2.6,6.54,11.47,1.71,4.93,2.5,2.2,0.68,3.84,0.92,0.1,0.77,0.4,1363.61,111.18,14.56
3736,Jalen Brunson,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,3.03,1.96,4.06,6.06,1.08,2.0,1.36,1.13,0.26,1.92,2.0,0.11,0.61,0.65,880.99,110.63,13.87
3737,Mike Conley,UTAH JAZZ,2020-01-25,HOME,DALLAS MAVERICKS,3.87,2.95,4.1,7.51,0.92,3.41,0.0,0.0,0.0,1.0,1.85,0.0,0.66,0.93,1047.44,110.69,14.09
3738,Dwight Howard,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,4.41,4.3,6.53,6.64,0.11,0.11,3.28,1.25,4.33,7.52,0.87,1.61,1.34,1.04,1399.66,109.79,14.28
3739,Jared Dudley,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,1.17,0.4,0.88,2.32,0.77,1.44,0.0,0.0,0.24,1.61,0.45,0.3,0.44,0.6,685.73,109.15,14.18
3740,Denzel Valentine,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,0.92,0.73,1.03,1.94,0.19,0.91,0.0,0.0,0.0,0.61,0.75,0.0,0.59,0.3,328.54,107.61,14.4
3741,Kyle Kuzma,LOS ANGELES LAKERS,2020-01-25,AWAY,PHILADELPHIA 76ERS,5.47,4.05,8.2,12.33,1.42,4.13,3.67,2.75,1.29,3.48,1.5,0.52,1.67,0.14,1721.82,109.79,14.28
3742,Garrett Temple,BROOKLYN NETS,2020-01-25,AWAY,DETROIT PISTONS,2.95,1.17,2.52,7.88,1.78,5.37,1.08,0.71,0.88,3.17,1.69,0.14,1.67,0.83,1369.63,108.2,14.35
3743,Cristiano Felício,CHICAGO BULLS,2020-01-25,AWAY,CLEVELAND CAVALIERS,1.76,1.76,2.21,2.21,0.0,0.0,0.51,0.51,2.19,2.77,0.66,0.25,0.72,0.13,1000.8,109.7,14.52
3744,Justin Jackson,DALLAS MAVERICKS,2020-01-25,AWAY,UTAH JAZZ,2.02,1.3,2.64,5.5,0.73,2.86,0.58,0.58,0.9,1.39,1.43,0.25,0.39,0.19,1257.57,111.3,13.85
3745,Louis King,DETROIT PISTONS,2020-01-25,HOME,BROOKLYN NETS,0.73,0.26,0.91,2.23,0.47,1.32,0.34,0.0,0.0,1.17,0.47,0.0,0.16,0.1,470.73,110.25,14.73
3746,Zhaire Smith,PHILADELPHIA 76ERS,2020-01-25,HOME,LOS ANGELES LAKERS,0.5,0.5,1.09,1.39,0.0,0.3,0.37,0.19,0.0,0.19,0.17,0.0,0.36,0.35,230.23,108.06,14.58
3747,Alfonzo McKinnie,CLEVELAND CAVALIERS,2020-01-25,HOME,CHICAGO BULLS,3.19,3.07,4.33,6.07,0.12,1.74,1.23,0.91,1.39,3.54,0.5,0.24,0.79,0.67,1275.0,110.18,14.47
