,Unnamed: 0,slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,Date,Team Defensive Rating,Team Pace,Team Turnover %,Opponent Defensive Rating,Opponent Pace,Opponent Turnover %
61,61,okoboel01,Elie Okobo,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,647,2,3,1,1,0,1,0,0,2,0,0,1,1,3.3,2020-01-01,115.1,100.5,13.8,109.5,103.2,13.4
62,62,hillge01,George Hill,MILWAUKEE BUCKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1351,2,5,0,2,1,2,1,0,2,0,0,0,2,3.2,2020-01-01,105.2,103.3,12.0,112.9,100.2,11.4
63,63,diallch01,Cheick Diallo,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,292,1,1,0,0,0,0,0,0,1,1,0,0,1,3.0,2020-01-01,115.1,100.5,13.8,109.5,103.2,13.4
64,64,saricda01,Dario Šarić,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,860,2,3,0,0,0,0,0,1,1,0,0,0,2,2.9,2020-01-01,115.1,100.5,13.8,109.5,103.2,13.4
65,65,isaacjo01,Jonathan Isaac,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,123,1,2,0,0,0,0,1,0,0,1,0,0,0,2.7,2020-01-01,108.1,98.1,11.9,113.9,101.4,12.3
66,66,bazemke01,Kent Bazemore,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,LOSS,1747,4,11,1,5,0,0,0,4,1,0,1,3,0,2.5,2020-01-01,110.5,99.1,12.1,113.7,99.6,12.4
67,67,pasecan01,Anžejs Pasečņiks,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1429,2,8,0,1,0,0,3,7,3,0,0,1,5,2.5,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9
68,68,tollian01,Anthony Tolliver,PORTLAND TRAIL BLAZERS,AWAY,NEW YORK KNICKS,LOSS,1393,1,3,1,3,0,0,0,4,1,0,1,1,1,2.5,2020-01-01,110.5,99.1,12.1,113.7,99.6,12.4
69,69,bridgmi01,Mikal Bridges,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,1491,2,5,0,3,0,0,0,7,1,0,1,0,6,2.4,2020-01-01,115.1,100.5,13.8,109.5,103.2,13.4
70,70,thomais02,Isaiah Thomas,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1154,3,10,1,4,2,2,0,0,1,1,0,2,2,2.1,2020-01-01,113.9,101.4,12.3,108.1,98.1,11.9
71,71,gibsota01,Taj Gibson,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,595,1,1,0,0,0,0,0,0,1,0,0,0,1,2.0,2020-01-01,113.7,99.6,12.4,110.5,99.1,12.1
